human_protein,rank,yeast_protein,similarity_score
Q07864,9,Q06685,0.9394776
Q07864,10,P32874,0.93849397
Q07864,11,P53622,0.9371692
Q07864,12,P53258,0.9370428
Q07864,13,Q06625,0.93553394
Q07864,14,P32333,0.93527776
Q07864,15,P06103,0.93492824
Q07864,16,P53010,0.9344568
Q07864,17,P30771,0.93398196
Q07864,18,P38859,0.93391323
Q07864,19,P32863,0.9332542
Q07864,20,Q07878,0.93320364
Q8N3C0,1,P53327,0.9752633
Q8N3C0,2,Q06224,0.97354805
Q8N3C0,3,P53893,0.9729569
Q8N3C0,4,P23337,0.9694741
Q8N3C0,5,Q02939,0.9662653
Q8N3C0,6,P04051,0.9661085
Q8N3C0,7,P04819,0.9650253
Q8N3C0,8,P38132,0.9649551
Q8N3C0,9,P32363,0.9648255
Q8N3C0,10,P53290,0.96425015
Q8N3C0,11,P47047,0.963933
Q8N3C0,12,P32639,0.9634503
Q8N3C0,13,P25847,0.9622034
Q8N3C0,14,Q08645,0.9616148
Q8N3C0,15,P08432,0.9606275
Q8N3C0,16,P06839,0.96047753
Q8N3C0,17,P22516,0.96039706
Q8N3C0,18,Q08162,0.9598523
Q8N3C0,19,P41810,0.9588101
Q8N3C0,20,P29468,0.95878774
O75643,1,P47047,0.98082614
O75643,2,P23337,0.9677466
O75643,3,P18759,0.96516085
O75643,4,P53914,0.9629697
O75643,5,P53893,0.96166223
O75643,6,Q00578,0.96164596
O75643,7,Q02939,0.96086997
O75643,8,P06839,0.9582553
O75643,9,P38132,0.9571244
O75643,10,Q06218,0.9567308
O75643,11,P53290,0.9564393
O75643,12,P04050,0.95594585
O75643,13,P31244,0.95589155
O75643,14,Q08162,0.95504147
O75643,15,P04051,0.9543921
O75643,16,P21576,0.9543161
O75643,17,P27472,0.9537862
O75643,18,Q00776,0.9536788
O75643,19,P53131,0.95349395
O75643,20,P04819,0.9529743
P30876,1,P08518,0.9924555
P30876,2,P22276,0.9812605
P30876,3,P38795,0.9588048
P30876,4,P21672,0.95660627
P30876,5,P21524,0.9546207
P30876,6,P07703,0.9492603
P30876,7,P32327,0.94878703
P30876,8,P47047,0.9484492
P30876,9,P11986,0.94844276
P30876,10,P53914,0.9476976
P30876,11,P11154,0.94768304
P30876,12,P23337,0.9464551
P30876,13,P16140,0.946407
P30876,14,P32288,0.94639647
P30876,15,P36132,0.945565
P30876,16,P32324,0.9443576
P30876,17,P12385,0.9435739
P30876,18,P09201,0.94313174
P30876,19,P53295,0.94303095
P30876,20,P08679,0.9428087
Q9NW08,1,P22276,0.9919325
Q9NW08,2,P08518,0.9815281
Q9NW08,3,P38795,0.9628751
Q9NW08,4,P32327,0.9509837
Q9NW08,5,P21672,0.95084304
Q9NW08,6,Q06817,0.9504644
Q9NW08,7,P11154,0.94984925
Q9NW08,8,P21524,0.9490529
Q9NW08,9,Q12109,0.9479793
Q9NW08,10,P39958,0.94658816
Q9NW08,11,P07259,0.94603664
Q9NW08,12,P07703,0.9458903
Q9NW08,13,P47047,0.9456173
Q9NW08,14,P38088,0.9452706
Q9NW08,15,P15624,0.944911
Q9NW08,16,P23337,0.9444505
Q9NW08,17,P03965,0.9426034
Q9NW08,18,P11986,0.9424713
Q9NW08,19,P18759,0.94245285
Q9NW08,20,P22515,0.9414647
O14802,1,P04051,0.9860756
O14802,2,P23337,0.97519296
O14802,3,P22276,0.9718358
O14802,4,P04050,0.97144735
O14802,5,P08518,0.9710777
O14802,6,P15436,0.9691375
O14802,7,P47047,0.9688585
O14802,8,Q08162,0.96754444
O14802,9,P27472,0.9653956
O14802,10,P40487,0.9651071
O14802,11,P17255,0.9632801
O14802,12,P29468,0.9613741
O14802,13,P53914,0.9613139
O14802,14,Q06817,0.96064633
O14802,15,P18759,0.9602003
O14802,16,P07259,0.95959777
O14802,17,P23287,0.9591649
O14802,18,P32604,0.95834965
O14802,19,Q03330,0.95675516
O14802,20,P43123,0.9566233
Q9Y4A5,1,P38811,0.98261434
Q9Y4A5,2,Q03280,0.97951454
Q9Y4A5,3,P38111,0.9760962
Q9Y4A5,4,P25655,0.9760756
Q9Y4A5,5,P35194,0.9760406
Q9Y4A5,6,P37297,0.97603786
Q9Y4A5,7,P38110,0.9749042
Q9Y4A5,8,P38737,0.9744252
Q9Y4A5,9,P34110,0.97190976
Q9Y4A5,10,Q00416,0.97147846
Q9Y4A5,11,P53886,0.9670003
Q9Y4A5,12,Q12019,0.9666627
Q9Y4A5,13,Q12754,0.9640558
Q9Y4A5,14,P47102,0.9636533
Q9Y4A5,15,Q04693,0.9633337
Q9Y4A5,16,P35169,0.96281385
Q9Y4A5,17,P25356,0.96239173
Q9Y4A5,18,P36022,0.96198285
Q9Y4A5,19,P33202,0.96010095
Q9Y4A5,20,P38164,0.95990753
P11498,1,P11154,0.9769226
P11498,2,P32327,0.9762646
P11498,3,P32324,0.95917183
P11498,4,P52489,0.9525786
P11498,5,P09440,0.9523655
P11498,6,P07245,0.95216244
P11498,7,P38795,0.9519839
P11498,8,P00549,0.9519397
P11498,9,P41819,0.9515964
P11498,10,P37292,0.9510873
P11498,11,P39729,0.95025337
P11498,12,P38891,0.9488324
P11498,13,P21524,0.94759583
P11498,14,P39077,0.9472877
P11498,15,P54113,0.9467904
P11498,16,P39079,0.9461394
P11498,17,P09201,0.9454382
P11498,18,P53295,0.9448672
P11498,19,P00890,0.94460386
P11498,20,P50095,0.9443727
O14841,1,Q12522,0.84640867
O14841,2,P39954,0.83307076
O14841,3,P21801,0.8321393
O14841,4,Q00711,0.83210564
O14841,5,P47052,0.8307214
O14841,6,P07991,0.83061147
O14841,7,P19073,0.8304569
O14841,8,P32561,0.82606894
O14841,9,P53319,0.82524467
O14841,10,P07244,0.825168
O14841,11,Q03195,0.82513964
O14841,12,P32835,0.8245808
O14841,13,P25453,0.82430226
O14841,14,P25454,0.82415086
O14841,15,P54113,0.8238354
O14841,16,P36007,0.8225359
O14841,17,P32836,0.8223894
O14841,18,P38620,0.82224315
O14841,19,P38009,0.8220107
O14841,20,P00830,0.82194805
P41252,1,Q06817,0.94792527
P41252,2,Q05506,0.9444722
P41252,3,P07259,0.94191945
P41252,4,P32327,0.9415131
P41252,5,P52892,0.9397893
P41252,6,P38793,0.939762
P41252,7,P32861,0.939064
P41252,8,P38628,0.9387006
P41252,9,P53131,0.9383852
P41252,10,P47047,0.9380697
P41252,11,P11154,0.93753403
P41252,12,P07258,0.9365045
P41252,13,Q00055,0.9364877
P41252,14,P38795,0.9363012
P41252,15,Q07729,0.936217
P41252,16,P07806,0.9361584
P41252,17,P40825,0.93598205
P41252,18,P38708,0.9344421
P41252,19,P04801,0.9342023
P41252,20,P18759,0.9339243
P13639,1,P32324,0.9775582
P13639,2,P02994,0.9596131
P13639,3,Q03195,0.95581055
P13639,4,P16140,0.95129937
P13639,5,P25694,0.9478578
P13639,6,P41819,0.9461678
P13639,7,P39729,0.9451913
P13639,8,P32481,0.94507086
P13639,9,P47052,0.94419575
P13639,10,P39077,0.9420562
P13639,11,P21954,0.9411815
P13639,12,Q00711,0.9398548
P13639,13,P42943,0.93916804
P13639,14,P33297,0.9385813
P13639,15,P32561,0.9382613
P13639,16,Q01939,0.93747467
P13639,17,P12385,0.936852
P13639,18,P32836,0.9363908
P13639,19,P36132,0.9362772
P13639,20,P41940,0.93531215
P55072,1,P25694,0.9734943
P55072,2,Q01939,0.9652054
P55072,3,Q03532,0.94924057
P55072,4,P33297,0.9452492
P55072,5,P52917,0.94288206
P55072,6,P32835,0.9325628
P55072,7,P32836,0.9321924
P55072,8,P32598,0.9305517
P55072,9,Q03195,0.9275194
P55072,10,P02994,0.9268305
P55072,11,P10081,0.9238609
P55072,12,P41940,0.9236324
P55072,13,P09435,0.921104
P55072,14,P33298,0.9136226
P55072,15,P41819,0.9135838
P55072,16,P00830,0.9126636
P55072,17,P13393,0.9125444
P55072,18,P22202,0.91087586
P55072,19,P10591,0.90786284
P55072,20,P10592,0.90722716
O14981,1,P32333,0.98220325
O14981,2,P49955,0.962685
O14981,3,P32600,0.9619826
O14981,4,P32863,0.95906013
O14981,5,P33892,0.95689493
O14981,6,Q06708,0.95682096
O14981,7,P53622,0.95654595
O14981,8,P41810,0.9558143
O14981,9,Q06156,0.95441115
O14981,10,P35169,0.9538745
O14981,11,P38086,0.95343083
O14981,12,P30771,0.9526874
O14981,13,P32562,0.94938385
O14981,14,P11075,0.94918185
O14981,15,P15938,0.9486426
O14981,16,P12683,0.94758034
O14981,17,P33760,0.9472597
O14981,18,Q00955,0.9472281
O14981,19,P38217,0.94716996
O14981,20,Q04585,0.94593346
Q9H0A0,1,P53914,0.96671855
Q9H0A0,2,P47047,0.9606164
Q9H0A0,3,P53742,0.95365554
Q9H0A0,4,Q03195,0.9526103
Q9H0A0,5,Q00578,0.9507075
Q9H0A0,6,P38861,0.94185436
Q9H0A0,7,P32481,0.9416714
Q9H0A0,8,P38795,0.9414462
Q9H0A0,9,P43588,0.93832994
Q9H0A0,10,Q03940,0.9381048
Q9H0A0,11,P12385,0.93693805
Q9H0A0,12,P53088,0.9365015
Q9H0A0,13,P22515,0.9363856
Q9H0A0,14,P33322,0.93563145
Q9H0A0,15,P41819,0.93466866
Q9H0A0,16,P04050,0.9339831
Q9H0A0,17,P54861,0.9335527
Q9H0A0,18,Q12464,0.9325474
Q9H0A0,19,P39007,0.93215483
Q9H0A0,20,Q99216,0.9282572
P23921,1,P21524,0.96880335
P23921,2,P21672,0.96365523
P23921,3,P16140,0.95976347
P23921,4,P54113,0.94728094
P23921,5,P21954,0.9466193
P23921,6,P41939,0.94454134
P23921,7,P19414,0.9428669
P23921,8,P38009,0.94245726
P23921,9,Q03195,0.94125515
P23921,10,Q05911,0.94056875
P23921,11,P47052,0.94008297
P23921,12,Q00711,0.9390917
P23921,13,P12385,0.93880147
P23921,14,P36132,0.93759835
P23921,15,P39729,0.9362374
P23921,16,P32561,0.93531066
P23921,17,P38720,0.9346992
P23921,18,P37291,0.9344286
P23921,19,P53319,0.9339053
P23921,20,P39954,0.9333817
O95602,1,P10964,0.9743379
O95602,2,P04051,0.96174437
O95602,3,P13382,0.961573
O95602,4,Q06685,0.9566789
O95602,5,Q06706,0.9553035
O95602,6,Q00955,0.9542823
O95602,7,Q06224,0.9532763
O95602,8,Q04439,0.9531795
O95602,9,P39006,0.9529036
O95602,10,P35207,0.9528292
O95602,11,P30771,0.952143
O95602,12,P36006,0.9521356
O95602,13,P32368,0.9517177
O95602,14,P53622,0.9516684
O95602,15,P32639,0.9510372
O95602,16,Q02792,0.9509555
O95602,17,Q12675,0.9508382
O95602,18,P22543,0.9504561
O95602,19,P53327,0.9501526
O95602,20,P32863,0.9501027
P42285,1,P47047,0.9808621
P42285,2,Q03195,0.9668635
P42285,3,P41819,0.9608673
P42285,4,P32481,0.95710015
P42285,5,P53914,0.9536229
P42285,6,P53742,0.9532163
P42285,7,Q00578,0.9508196
P42285,8,P38795,0.95050573
P42285,9,P53088,0.9486111
P42285,10,P12385,0.94750905
P42285,11,P20459,0.9453609
P42285,12,P23594,0.94510037
P42285,13,P54861,0.9441037
P42285,14,P33298,0.9441027
P42285,15,P25694,0.9437759
P42285,16,P32324,0.94311416
P42285,17,P23595,0.9422849
P42285,18,P33322,0.9420298
P42285,19,P22515,0.9419646
P42285,20,P39729,0.9409368
P33527,1,Q03195,0.9320577
P33527,2,Q01939,0.9313733
P33527,3,P41819,0.9313383
P33527,4,Q03532,0.9243997
P33527,5,P25694,0.9183399
P33527,6,P39007,0.91685456
P33527,7,P40348,0.9153188
P33527,8,P41940,0.9148275
P33527,9,P39076,0.9143993
P33527,10,P25453,0.9117931
P33527,11,P20604,0.9107709
P33527,12,P33297,0.9098159
P33527,13,P40961,0.90940845
P33527,14,P32598,0.9084588
P33527,15,P42943,0.90796363
P33527,16,P33298,0.9074118
P33527,17,P04710,0.9068036
P33527,18,P52917,0.9053119
P33527,19,P39077,0.9045732
P33527,20,P50085,0.9042865
P22314,1,Q03195,0.9508512
P22314,2,P32481,0.9335794
P22314,3,P41819,0.9304362
P22314,4,P12385,0.92978776
P22314,5,P53742,0.92879575
P22314,6,P25694,0.9269183
P22314,7,P32324,0.92669046
P22314,8,P38795,0.9255575
P22314,9,P22515,0.9249007
P22314,10,P21954,0.92324734
P22314,11,P13393,0.9227841
P22314,12,P32561,0.922412
P22314,13,P20459,0.9204951
P22314,14,P47047,0.9184701
P22314,15,P33322,0.9178869
P22314,16,P52917,0.917015
P22314,17,P39729,0.91671216
P22314,18,P53088,0.9153388
P22314,19,P41940,0.9144443
P22314,20,P21801,0.9140188
P11388,1,P47047,0.9657238
P11388,2,P06786,0.96479297
P11388,3,Q03330,0.9541387
P11388,4,Q00578,0.9540644
P11388,5,P53914,0.95336485
P11388,6,P04050,0.9530022
P11388,7,P39730,0.95077366
P11388,8,P20448,0.9494973
P11388,9,Q02892,0.9487078
P11388,10,P04819,0.94789
P11388,11,P38630,0.9464052
P11388,12,P38793,0.9463943
P11388,13,P38431,0.9459997
P11388,14,P40991,0.94476074
P11388,15,P53742,0.94451344
P11388,16,P23337,0.9436594
P11388,17,Q08649,0.9431338
P11388,18,P21576,0.9429944
P11388,19,Q99216,0.9419781
P11388,20,P31244,0.94141144
P11586,1,P07245,0.9711443
P11586,2,P38009,0.96275175
P11586,3,P54113,0.9616774
P11586,4,P39954,0.9585917
P11586,5,P09440,0.9581585
P11586,6,P38720,0.9557678
P11586,7,P53319,0.9556582
P11586,8,P39729,0.9532212
P11586,9,P37291,0.95069224
P11586,10,Q03195,0.9504111
P11586,11,P38627,0.9500365
P11586,12,P19358,0.9496344
P11586,13,P16140,0.94879305
P11586,14,P10659,0.94845766
P11586,15,P21954,0.947606
P11586,16,P42222,0.94588935
P11586,17,P32324,0.94530153
P11586,18,P41939,0.9451143
P11586,19,P0CX10,0.944779
P11586,20,Q05911,0.94459844
Q99798,1,P19414,0.98620886
Q99798,2,P21954,0.9688212
Q99798,3,P21524,0.9670297
Q99798,4,P36132,0.9636223
Q99798,5,P21672,0.96298945
Q99798,6,P54113,0.9629183
Q99798,7,P41939,0.9626718
Q99798,8,P00890,0.9587024
Q99798,9,P47052,0.9583786
Q99798,10,P32324,0.9582295
Q99798,11,P38795,0.9577627
Q99798,12,P16140,0.9577028
Q99798,13,Q00711,0.9576327
Q99798,14,P04801,0.9573503
Q99798,15,P38009,0.95723057
Q99798,16,P32561,0.95507103
Q99798,17,P37291,0.9548745
Q99798,18,P37292,0.9538604
Q99798,19,P25039,0.9523081
Q99798,20,Q03195,0.95210356
P53621,1,P53622,0.9733266
P53621,2,P41811,0.9607342
P53621,3,P49955,0.95382977
P53621,4,P25635,0.9528575
P53621,5,P41810,0.9527559
P53621,6,P30771,0.9500753
P53621,7,Q12417,0.94692284
P53621,8,P42935,0.9454591
P53621,9,Q12220,0.9447435
P53621,10,P13382,0.9440829
P53621,11,Q06224,0.94265777
P53621,12,Q04199,0.9413441
P53621,13,P24583,0.94128644
P53621,14,P38328,0.93963313
P53621,15,Q06685,0.9388186
P53621,16,P38144,0.9367491
P53621,17,P38132,0.9346908
P53621,18,P53893,0.9345612
P53621,19,Q04439,0.9336267
P53621,20,P32863,0.9333642
O14980,1,P30822,0.98106265
O14980,2,P49955,0.975987
O14980,3,P41810,0.97040695
O14980,4,P38217,0.9697296
O14980,5,P32337,0.9663058
O14980,6,P53622,0.96175104
O14980,7,P33307,0.95735776
O14980,8,Q06142,0.95572954
O14980,9,P40069,0.9549066
O14980,10,P19524,0.9539677
O14980,11,P32333,0.952151
O14980,12,P32600,0.95189965
O14980,13,P38329,0.9516738
O14980,14,P36000,0.950512
O14980,15,P46970,0.950417
O14980,16,Q02932,0.9491224
O14980,17,P12683,0.9487488
O14980,18,Q06708,0.9485087
O14980,19,P32074,0.94843274
O14980,20,P16522,0.948353
P23378,1,P49095,0.94438094
P23378,2,P37292,0.9437034
P23378,3,P25453,0.94210416
P23378,4,P54113,0.94059694
P23378,5,P39954,0.9380087
P23378,6,P07244,0.93745226
P23378,7,P42222,0.9366095
P23378,8,P0CX10,0.9362879
P23378,9,P37291,0.93226546
P23378,10,P09440,0.93165445
P23378,11,P38009,0.93076336
P23378,12,P11154,0.93056065
P23378,13,P51601,0.9300891
P23378,14,P32327,0.9298435
P23378,15,Q05911,0.9284609
P23378,16,P25039,0.9280517
P23378,17,P32473,0.92795706
P23378,18,P07245,0.9274189
P23378,19,P38821,0.92731565
P23378,20,P21801,0.92560256
P26640,1,P25454,0.83137965
P26640,2,P03962,0.8146899
P26640,3,Q00055,0.81376076
P26640,4,P52489,0.8118211
P26640,5,P32381,0.8108203
P26640,6,P32327,0.8103541
P26640,7,P41819,0.80922717
P26640,8,P25453,0.8089704
P26640,9,P11154,0.8089275
P26640,10,P07244,0.8078243
P26640,11,P32324,0.8068632
P26640,12,P32377,0.80633813
P26640,13,P53742,0.805504
P26640,14,P15180,0.80489707
P26640,15,P53131,0.8048565
P26640,16,P38707,0.8040402
P26640,17,P39077,0.80338466
P26640,18,P40303,0.80269355
P26640,19,P39079,0.80226624
P26640,20,P02992,0.80178857
Q92616,1,P49955,0.9505715
Q92616,2,P33892,0.94992614
Q92616,3,P32333,0.94418746
Q92616,4,P32600,0.9399475
Q92616,5,Q06156,0.9354687
Q92616,6,P53622,0.9333167
Q92616,7,P35169,0.93213606
Q92616,8,P41810,0.9314863
Q92616,9,P38217,0.9298703
Q92616,10,P30822,0.928881
Q92616,11,Q06708,0.927538
Q92616,12,P32337,0.926998
Q92616,13,P40069,0.9250523
Q92616,14,P12683,0.92221653
Q92616,15,P36000,0.9205288
Q92616,16,P11075,0.91997564
Q92616,17,Q12754,0.918454
Q92616,18,P46970,0.915374
Q92616,19,P27351,0.9140603
Q92616,20,Q02932,0.9124371
P28340,1,Q00578,0.9066371
P28340,2,P25454,0.9020267
P28340,3,P15303,0.9018829
P28340,4,P53742,0.90090233
P28340,5,P47047,0.89943075
P28340,6,P53131,0.8991144
P28340,7,P38861,0.8970311
P28340,8,P38793,0.89239943
P28340,9,P04050,0.8901837
P28340,10,P43588,0.8879672
P28340,11,Q03940,0.8872669
P28340,12,P32861,0.8868342
P28340,13,P53914,0.88617367
P28340,14,P32481,0.8856289
P28340,15,P38795,0.8852937
P28340,16,P23337,0.8823976
P28340,17,P53088,0.88209414
P28340,18,P15436,0.88190484
P28340,19,P38088,0.88187796
P28340,20,P41819,0.88062495
Q9Y2Q0,1,P53131,0.9568048
Q9Y2Q0,2,P39007,0.9558519
Q9Y2Q0,3,P47047,0.9554994
Q9Y2Q0,4,P25453,0.950722
Q9Y2Q0,5,Q00055,0.9502826
Q9Y2Q0,6,P27697,0.9496548
Q9Y2Q0,7,P38795,0.94941837
Q9Y2Q0,8,P20604,0.94707954
Q9Y2Q0,9,P40527,0.94549733
Q9Y2Q0,10,P32327,0.9449211
Q9Y2Q0,11,P38074,0.9445858
Q9Y2Q0,12,P21576,0.9433312
Q9Y2Q0,13,P11154,0.94255537
Q9Y2Q0,14,P23594,0.9423202
Q9Y2Q0,15,P23595,0.9422029
Q9Y2Q0,16,P41819,0.9421673
Q9Y2Q0,17,P39109,0.9414987
Q9Y2Q0,18,P51601,0.9406373
Q9Y2Q0,19,P52892,0.9395109
Q9Y2Q0,20,Q12154,0.9387833
O43861,1,P41819,0.935113
O43861,2,Q03195,0.9349814
O43861,3,P40527,0.928122
O43861,4,P38795,0.9276501
O43861,5,P23594,0.9206244
O43861,6,P47047,0.91962475
O43861,7,P20604,0.9170718
O43861,8,P33298,0.9149052
O43861,9,P39517,0.9148256
O43861,10,P23595,0.913232
O43861,11,P27697,0.90951174
O43861,12,P36132,0.909181
O43861,13,Q01939,0.909063
O43861,14,P39007,0.90879726
O43861,15,P53088,0.9082258
O43861,16,P25694,0.90754384
O43861,17,Q03532,0.9072505
O43861,18,P25454,0.905847
O43861,19,P40558,0.905784
O43861,20,P32324,0.90578246
P11142,1,P10592,0.9251241
P11142,2,P10591,0.92500854
P11142,3,P22202,0.91213185
P11142,4,P60010,0.9047999
P11142,5,P09435,0.9030149
P11142,6,P29311,0.88525796
P11142,7,P32835,0.8796617
P11142,8,P00830,0.878644
P11142,9,P34730,0.87765574
P11142,10,P32836,0.87360924
P11142,11,P19073,0.87071604
P11142,12,P02994,0.8691589
P11142,13,P32598,0.8677534
P11142,14,P05759,0.8576415
P11142,15,P15731,0.8490532
P11142,16,P15732,0.845134
P11142,17,P61830,0.835742
P11142,18,Q01939,0.8356981
P11142,19,P00358,0.82639766
P11142,20,P00359,0.8241282
O60264,1,Q08773,0.9682233
O60264,2,P32597,0.96623963
O60264,3,P47047,0.9661736
O60264,4,P20448,0.9625479
O60264,5,P31244,0.96076286
O60264,6,P38144,0.95792395
O60264,7,Q03330,0.95767
O60264,8,P30665,0.9560088
O60264,9,Q00578,0.9557593
O60264,10,P23287,0.9555523
O60264,11,P38132,0.95305663
O60264,12,P53091,0.9525823
O60264,13,P33299,0.9523761
O60264,14,P29469,0.9506936
O60264,15,Q02892,0.9503688
O60264,16,P21576,0.94947517
O60264,17,P53145,0.9489208
O60264,18,P40991,0.948622
O60264,19,Q08649,0.94848627
O60264,20,P14747,0.9483023
Q92900,1,P30771,0.9546882
Q92900,2,P53091,0.94951123
Q92900,3,P30665,0.9442804
Q92900,4,Q00578,0.94417787
Q92900,5,P13382,0.9412356
Q92900,6,P32829,0.93823206
Q92900,7,P24583,0.9376623
Q92900,8,P24279,0.93712616
Q92900,9,P39940,0.9367692
Q92900,10,P47047,0.93579596
Q92900,11,P04050,0.9349304
Q92900,12,P53893,0.9346773
Q92900,13,Q04439,0.9338048
Q92900,14,P32597,0.93329865
Q92900,15,P38630,0.93293214
Q92900,16,Q04673,0.93289655
Q92900,17,Q00684,0.93280244
Q92900,18,P38132,0.9327234
Q92900,19,Q12417,0.9313372
Q92900,20,Q06224,0.9312223
