sp|Q6P2Q9|PRP8_HUMAN	sp|P33334|PRP8_YEAST	62.473	2321	3059	0.0
sp|Q07864|DPOE1_HUMAN	sp|P21951|DPOE_YEAST	31.633	196	132	1.31e-31
sp|Q8N3C0|ASCC3_HUMAN	sp|P53327|ASCC3_YEAST	48.327	1614	1525	0.0
sp|Q8N3C0|ASCC3_HUMAN	sp|P32639|BRR2_YEAST	34.956	1951	1069	0.0
sp|Q8N3C0|ASCC3_HUMAN	sp|P51979|HFM1_YEAST	30.876	651	275	1.78e-76
sp|Q8N3C0|ASCC3_HUMAN	sp|P51979|HFM1_YEAST	27.873	757	262	2.74e-72
sp|Q8N3C0|ASCC3_HUMAN	sp|P47047|MTR4_YEAST	26.118	425	102	1.03e-22
sp|Q8N3C0|ASCC3_HUMAN	sp|P47047|MTR4_YEAST	31.897	116	61.2	4.03e-10
sp|Q8N3C0|ASCC3_HUMAN	sp|P47047|MTR4_YEAST	24.752	202	50.4	8.18e-07
sp|Q8N3C0|ASCC3_HUMAN	sp|P35207|SKI2_YEAST	37.143	105	67.4	5.37e-12
sp|Q8N3C0|ASCC3_HUMAN	sp|P35207|SKI2_YEAST	29.012	162	67.0	6.80e-12
sp|Q8N3C0|ASCC3_HUMAN	sp|P35207|SKI2_YEAST	28.365	208	67.0	7.85e-12
sp|Q8N3C0|ASCC3_HUMAN	sp|P35207|SKI2_YEAST	25.263	190	53.5	9.49e-08
sp|O75643|U520_HUMAN	sp|P32639|BRR2_YEAST	39.542	2185	1533	0.0
sp|O75643|U520_HUMAN	sp|P53327|ASCC3_YEAST	40.612	1699	1274	0.0
sp|O75643|U520_HUMAN	sp|P51979|HFM1_YEAST	28.894	796	271	4.75e-75
sp|O75643|U520_HUMAN	sp|P51979|HFM1_YEAST	30.634	568	257	9.96e-71
sp|O75643|U520_HUMAN	sp|P47047|MTR4_YEAST	24.769	432	97.1	3.93e-21
sp|O75643|U520_HUMAN	sp|P47047|MTR4_YEAST	24.222	450	90.5	4.46e-19
sp|O75643|U520_HUMAN	sp|P35207|SKI2_YEAST	27.807	187	73.6	6.51e-14
sp|O75643|U520_HUMAN	sp|P35207|SKI2_YEAST	30.625	160	72.0	2.02e-13
sp|O75643|U520_HUMAN	sp|P35207|SKI2_YEAST	27.692	195	62.8	1.54e-10
sp|O75643|U520_HUMAN	sp|P35207|SKI2_YEAST	27.500	160	54.3	5.58e-08
sp|O75643|U520_HUMAN	sp|P35187|SGS1_YEAST	22.350	349	50.1	9.18e-07
sp|P30876|RPB2_HUMAN	sp|P08518|RPB2_YEAST	58.088	1224	1449	0.0
sp|P30876|RPB2_HUMAN	sp|P22276|RPC2_YEAST	37.059	1163	753	0.0
sp|P30876|RPB2_HUMAN	sp|P22138|RPA2_YEAST	29.973	1121	395	1.61e-119
sp|Q9NW08|RPC2_HUMAN	sp|P22276|RPC2_YEAST	63.069	1121	1433	0.0
sp|Q9NW08|RPC2_HUMAN	sp|P08518|RPB2_YEAST	37.982	1219	764	0.0
sp|Q9NW08|RPC2_HUMAN	sp|P22138|RPA2_YEAST	31.228	1140	433	1.09e-133
sp|O14802|RPC1_HUMAN	sp|P04051|RPC1_YEAST	50.943	1431	1415	0.0
sp|O14802|RPC1_HUMAN	sp|P04050|RPB1_YEAST	33.001	1503	704	0.0
sp|O14802|RPC1_HUMAN	sp|P10964|RPA1_YEAST	31.613	1085	449	3.38e-134
sp|O14802|RPC1_HUMAN	sp|P10964|RPA1_YEAST	32.402	179	88.2	1.68e-18
sp|O14802|RPC1_HUMAN	sp|P10964|RPA1_YEAST	27.826	115	56.2	8.58e-09
sp|Q9Y4A5|TRRAP_HUMAN	sp|P38811|TRA1_YEAST	26.414	2086	736	0.0
sp|Q9Y4A5|TRRAP_HUMAN	sp|P38811|TRA1_YEAST	28.441	1751	645	0.0
sp|Q9Y4A5|TRRAP_HUMAN	sp|P35169|TOR1_YEAST	23.764	526	84.3	9.87e-17
sp|Q9Y4A5|TRRAP_HUMAN	sp|P32600|TOR2_YEAST	23.674	528	75.9	3.09e-14
sp|Q9Y4A5|TRRAP_HUMAN	sp|P38111|ATR_YEAST	21.652	351	63.2	2.18e-10
sp|Q9Y4A5|TRRAP_HUMAN	sp|P38110|ATM_YEAST	21.176	340	48.1	8.36e-06
sp|P11498|PYC_HUMAN	sp|P32327|PYC2_YEAST	53.640	1154	1222	0.0
sp|P11498|PYC_HUMAN	sp|P11154|PYC1_YEAST	53.853	1155	1217	0.0
sp|P11498|PYC_HUMAN	sp|P32528|DUR1_YEAST	40.000	455	339	1.09e-97
sp|P11498|PYC_HUMAN	sp|P32874|HFA1_YEAST	31.423	506	229	3.63e-62
sp|P11498|PYC_HUMAN	sp|Q00955|ACAC_YEAST	29.572	514	211	1.57e-56
sp|P11498|PYC_HUMAN	sp|P07259|PYR1_YEAST	22.409	357	55.5	1.26e-08
sp|P11498|PYC_HUMAN	sp|P07259|PYR1_YEAST	20.792	303	54.7	2.18e-08
sp|P11498|PYC_HUMAN	sp|P03965|CARB_YEAST	24.479	192	52.8	8.16e-08
sp|O14841|OPLA_HUMAN	sp|P28273|OPLA_YEAST	48.012	1308	1198	0.0
sp|P41252|SYIC_HUMAN	sp|P09436|SYIC_YEAST	54.210	1057	1207	0.0
sp|P41252|SYIC_HUMAN	sp|P48526|SYIM_YEAST	26.284	837	231	1.20e-63
sp|P41252|SYIC_HUMAN	sp|P07806|SYV_YEAST	23.178	837	150	7.37e-38
sp|P41252|SYIC_HUMAN	sp|P11325|SYLM_YEAST	24.528	371	60.8	2.41e-10
sp|P41252|SYIC_HUMAN	sp|P11325|SYLM_YEAST	26.923	130	60.5	2.91e-10
sp|P13639|EF2_HUMAN	sp|P32324|EF2_YEAST	66.200	858	1186	0.0
sp|P13639|EF2_HUMAN	sp|P36048|SN114_YEAST	27.391	920	330	4.90e-100
sp|P13639|EF2_HUMAN	sp|P53893|RIA1_YEAST	38.186	419	258	1.23e-73
sp|P13639|EF2_HUMAN	sp|P53893|RIA1_YEAST	31.381	478	218	3.02e-60
sp|P13639|EF2_HUMAN	sp|P39677|RRF2M_YEAST	38.095	168	102	2.82e-23
sp|P13639|EF2_HUMAN	sp|P39677|RRF2M_YEAST	25.191	262	49.3	5.52e-07
sp|P13639|EF2_HUMAN	sp|P46943|GUF1_YEAST	34.568	162	99.4	1.15e-22
sp|P13639|EF2_HUMAN	sp|P25039|EFGM_YEAST	38.255	149	90.9	7.31e-20
sp|P13639|EF2_HUMAN	sp|P25039|EFGM_YEAST	24.455	413	84.0	1.07e-17
sp|P13639|EF2_HUMAN	sp|P02992|EFTU_YEAST	26.667	195	55.5	4.90e-09
sp|P13639|EF2_HUMAN	sp|P32769|HBS1_YEAST	28.395	162	46.2	4.49e-06
sp|P13639|EF2_HUMAN	sp|P02994|EF1A_YEAST	30.075	133	45.1	8.11e-06
sp|P55072|TERA_HUMAN	sp|P25694|CDC48_YEAST	68.357	828	1178	0.0
sp|P55072|TERA_HUMAN	sp|P32794|AFG2_YEAST	45.310	565	487	1.91e-162
sp|P55072|TERA_HUMAN	sp|P32794|AFG2_YEAST	42.979	235	205	3.98e-57
sp|P55072|TERA_HUMAN	sp|Q07844|RIX7_YEAST	39.326	623	441	7.28e-144
sp|P55072|TERA_HUMAN	sp|Q07844|RIX7_YEAST	36.644	292	202	7.49e-56
sp|P55072|TERA_HUMAN	sp|Q07844|RIX7_YEAST	43.644	236	197	6.19e-54
sp|P55072|TERA_HUMAN	sp|P33760|PEX6_YEAST	35.185	486	266	3.12e-77
sp|P55072|TERA_HUMAN	sp|P33760|PEX6_YEAST	40.767	287	195	6.31e-53
sp|P55072|TERA_HUMAN	sp|P24004|PEX1_YEAST	32.165	485	235	1.78e-66
sp|P55072|TERA_HUMAN	sp|P24004|PEX1_YEAST	40.417	240	174	4.89e-46
sp|P55072|TERA_HUMAN	sp|P40340|ATAD2_YEAST	45.055	273	234	1.67e-65
sp|P55072|TERA_HUMAN	sp|P40340|ATAD2_YEAST	38.846	260	202	3.54e-55
sp|P55072|TERA_HUMAN	sp|P40327|PRS4_YEAST	45.957	235	210	1.65e-61
sp|P55072|TERA_HUMAN	sp|P40327|PRS4_YEAST	39.130	230	180	8.54e-51
sp|P55072|TERA_HUMAN	sp|Q01939|PRS8_YEAST	41.224	245	207	8.70e-61
sp|P55072|TERA_HUMAN	sp|Q01939|PRS8_YEAST	41.107	253	205	4.45e-60
sp|P55072|TERA_HUMAN	sp|P33299|PRS7_YEAST	44.783	230	205	1.80e-59
sp|P55072|TERA_HUMAN	sp|P33299|PRS7_YEAST	38.589	241	199	2.64e-57
sp|P55072|TERA_HUMAN	sp|P53549|PRS10_YEAST	44.118	238	204	3.82e-59
sp|P55072|TERA_HUMAN	sp|P53549|PRS10_YEAST	41.313	259	201	5.05e-58
sp|P55072|TERA_HUMAN	sp|P32795|YME1_YEAST	40.520	269	197	1.27e-54
sp|P55072|TERA_HUMAN	sp|P32795|YME1_YEAST	37.200	250	167	3.53e-44
sp|P55072|TERA_HUMAN	sp|P33298|PRS6B_YEAST	44.628	242	189	3.75e-54
sp|P55072|TERA_HUMAN	sp|P33298|PRS6B_YEAST	39.130	276	186	5.57e-53
sp|P55072|TERA_HUMAN	sp|P33297|PRS6A_YEAST	41.702	235	189	8.18e-54
sp|P55072|TERA_HUMAN	sp|P33297|PRS6A_YEAST	39.918	243	189	8.68e-54
sp|P55072|TERA_HUMAN	sp|P52917|VPS4_YEAST	34.177	316	177	1.17e-49
sp|P55072|TERA_HUMAN	sp|P52917|VPS4_YEAST	33.663	303	163	1.16e-44
sp|P55072|TERA_HUMAN	sp|P40341|YTA12_YEAST	41.423	239	182	3.50e-49
sp|P55072|TERA_HUMAN	sp|P40341|YTA12_YEAST	39.827	231	176	4.80e-47
sp|P55072|TERA_HUMAN	sp|P39925|AFG3_YEAST	38.075	239	176	2.12e-47
sp|P55072|TERA_HUMAN	sp|P39925|AFG3_YEAST	40.678	236	166	5.40e-44
sp|P55072|TERA_HUMAN	sp|P40328|TBP6_YEAST	34.062	320	174	1.82e-46
sp|P55072|TERA_HUMAN	sp|P40328|TBP6_YEAST	38.148	270	166	8.20e-44
sp|P55072|TERA_HUMAN	sp|P18759|SEC18_YEAST	32.170	401	172	4.35e-46
sp|P55072|TERA_HUMAN	sp|P18759|SEC18_YEAST	37.500	264	167	2.10e-44
sp|P55072|TERA_HUMAN	sp|P28737|MSP1_YEAST	39.130	253	164	1.16e-45
sp|P55072|TERA_HUMAN	sp|P28737|MSP1_YEAST	39.662	237	163	2.15e-45
sp|P55072|TERA_HUMAN	sp|P39955|SAP1_YEAST	31.464	321	148	5.55e-38
sp|P55072|TERA_HUMAN	sp|P39955|SAP1_YEAST	33.673	294	146	2.46e-37
sp|P55072|TERA_HUMAN	sp|P32839|BCS1_YEAST	33.099	142	66.6	1.31e-12
sp|P55072|TERA_HUMAN	sp|P32839|BCS1_YEAST	27.465	142	62.0	3.48e-11
sp|O14981|BTAF1_HUMAN	sp|P32333|BTAF1_YEAST	36.626	1974	1175	0.0
sp|O14981|BTAF1_HUMAN	sp|P40352|RAD26_YEAST	32.779	601	276	1.65e-77
sp|O14981|BTAF1_HUMAN	sp|P38144|ISW1_YEAST	34.334	533	270	2.57e-75
sp|O14981|BTAF1_HUMAN	sp|Q08773|ISW2_YEAST	32.865	569	269	8.89e-75
sp|O14981|BTAF1_HUMAN	sp|P22082|SNF2_YEAST	32.000	525	260	5.11e-71
sp|O14981|BTAF1_HUMAN	sp|P32597|STH1_YEAST	34.608	523	251	2.15e-68
sp|O14981|BTAF1_HUMAN	sp|P31380|FUN30_YEAST	30.526	570	247	7.81e-68
sp|O14981|BTAF1_HUMAN	sp|P32657|CHD1_YEAST	31.285	537	246	1.01e-66
sp|O14981|BTAF1_HUMAN	sp|P32863|RAD54_YEAST	29.908	545	230	2.52e-63
sp|O14981|BTAF1_HUMAN	sp|P38086|RDH54_YEAST	30.292	548	227	4.49e-62
sp|O14981|BTAF1_HUMAN	sp|P53115|INO80_YEAST	33.133	332	170	1.58e-43
sp|O14981|BTAF1_HUMAN	sp|P53115|INO80_YEAST	46.667	135	129	4.43e-31
sp|O14981|BTAF1_HUMAN	sp|Q05471|SWR1_YEAST	33.043	345	166	3.32e-42
sp|O14981|BTAF1_HUMAN	sp|Q05471|SWR1_YEAST	44.526	137	126	4.57e-30
sp|O14981|BTAF1_HUMAN	sp|P43610|IRC5_YEAST	32.394	284	144	5.75e-36
sp|O14981|BTAF1_HUMAN	sp|P43610|IRC5_YEAST	43.382	136	109	5.01e-25
sp|O14981|BTAF1_HUMAN	sp|Q08562|ULS1_YEAST	24.675	385	102	8.90e-23
sp|O14981|BTAF1_HUMAN	sp|Q08562|ULS1_YEAST	34.375	160	95.1	1.57e-20
sp|O14981|BTAF1_HUMAN	sp|P31244|RAD16_YEAST	34.211	152	95.5	8.51e-21
sp|O14981|BTAF1_HUMAN	sp|P31244|RAD16_YEAST	24.282	383	82.8	6.37e-17
sp|O14981|BTAF1_HUMAN	sp|P32849|RAD5_YEAST	33.333	144	84.3	3.40e-17
sp|O14981|BTAF1_HUMAN	sp|P32849|RAD5_YEAST	27.697	343	77.0	4.70e-15
sp|Q9H0A0|NAT10_HUMAN	sp|P53914|NAT10_YEAST	55.367	1062	1138	0.0
sp|P23921|RIR1_HUMAN	sp|P21672|RIR3_YEAST	66.711	760	1124	0.0
sp|P23921|RIR1_HUMAN	sp|P21524|RIR1_YEAST	66.928	765	1118	0.0
sp|O95602|RPA1_HUMAN	sp|P10964|RPA1_YEAST	36.821	1787	1099	0.0
sp|O95602|RPA1_HUMAN	sp|P04051|RPC1_YEAST	36.482	614	359	6.09e-103
sp|O95602|RPA1_HUMAN	sp|P04051|RPC1_YEAST	41.964	112	92.4	1.12e-19
sp|O95602|RPA1_HUMAN	sp|P04051|RPC1_YEAST	29.518	166	74.3	3.17e-14
sp|O95602|RPA1_HUMAN	sp|P04051|RPC1_YEAST	28.467	137	64.3	3.79e-11
sp|O95602|RPA1_HUMAN	sp|P04050|RPB1_YEAST	34.326	638	353	2.67e-100
sp|O95602|RPA1_HUMAN	sp|P04050|RPB1_YEAST	52.874	87	93.6	4.71e-20
sp|O95602|RPA1_HUMAN	sp|P04050|RPB1_YEAST	33.333	144	80.5	4.10e-16
sp|O95602|RPA1_HUMAN	sp|P04050|RPB1_YEAST	31.731	104	64.7	3.18e-11
sp|P42285|MTREX_HUMAN	sp|P47047|MTR4_YEAST	55.556	954	1084	0.0
sp|P42285|MTREX_HUMAN	sp|P35207|SKI2_YEAST	35.490	989	538	1.83e-173
sp|P42285|MTREX_HUMAN	sp|P51979|HFM1_YEAST	24.510	510	121	4.64e-29
sp|P42285|MTREX_HUMAN	sp|P53327|ASCC3_YEAST	25.651	499	100	1.25e-22
sp|P42285|MTREX_HUMAN	sp|P53327|ASCC3_YEAST	22.113	407	71.6	1.08e-13
sp|P42285|MTREX_HUMAN	sp|P32639|BRR2_YEAST	24.074	432	87.4	2.04e-18
sp|P42285|MTREX_HUMAN	sp|P32580|SUV3_YEAST	29.333	75	47.0	3.18e-06
sp|P33527|MRP1_HUMAN	sp|P39109|YCFI_YEAST	41.565	1470	1088	0.0
sp|P33527|MRP1_HUMAN	sp|P14772|BPT1_YEAST	38.150	1384	840	0.0
sp|P33527|MRP1_HUMAN	sp|P32386|YBT1_YEAST	34.093	1317	752	0.0
sp|P33527|MRP1_HUMAN	sp|P38735|VMR1_YEAST	33.012	1451	723	0.0
sp|P33527|MRP1_HUMAN	sp|P38735|VMR1_YEAST	21.701	576	87.4	3.22e-18
sp|P33527|MRP1_HUMAN	sp|P53049|YOR1_YEAST	31.447	1431	696	0.0
sp|P33527|MRP1_HUMAN	sp|P0CE68|NFT1_YEAST	25.182	1096	330	1.06e-94
sp|P33527|MRP1_HUMAN	sp|P0CE68|NFT1_YEAST	26.071	280	68.2	1.94e-12
sp|P33527|MRP1_HUMAN	sp|P0CE69|YK104_YEAST	40.345	290	224	1.22e-66
sp|P33527|MRP1_HUMAN	sp|P0CE69|YK104_YEAST	22.302	278	69.3	1.81e-13
sp|P33527|MRP1_HUMAN	sp|P40416|ATM1_YEAST	32.143	308	145	8.44e-37
sp|P33527|MRP1_HUMAN	sp|P40416|ATM1_YEAST	27.513	378	132	1.70e-32
sp|P33527|MRP1_HUMAN	sp|P33311|MDL2_YEAST	25.251	499	132	1.51e-32
sp|P33527|MRP1_HUMAN	sp|P33311|MDL2_YEAST	26.908	249	80.9	1.95e-16
sp|P33527|MRP1_HUMAN	sp|P33310|MDL1_YEAST	25.200	500	126	9.08e-31
sp|P33527|MRP1_HUMAN	sp|P33310|MDL1_YEAST	26.693	251	84.3	1.64e-17
sp|P33527|MRP1_HUMAN	sp|P12866|STE6_YEAST	33.482	224	120	1.48e-28
sp|P33527|MRP1_HUMAN	sp|P12866|STE6_YEAST	33.028	218	112	5.93e-26
sp|P33527|MRP1_HUMAN	sp|P12866|STE6_YEAST	33.061	245	108	7.53e-25
sp|P33527|MRP1_HUMAN	sp|P12866|STE6_YEAST	25.632	277	76.3	7.84e-15
sp|P33527|MRP1_HUMAN	sp|Q03195|RLI1_YEAST	25.556	180	47.0	5.59e-06
sp|P22314|UBA1_HUMAN	sp|P22515|UBA1_YEAST	52.473	1031	1094	0.0
sp|P22314|UBA1_HUMAN	sp|P52488|UBA2_YEAST	38.462	208	136	3.56e-34
sp|P22314|UBA1_HUMAN	sp|P52488|UBA2_YEAST	33.088	136	53.5	2.78e-08
sp|P22314|UBA1_HUMAN	sp|P52488|UBA2_YEAST	27.500	80	46.6	4.29e-06
sp|P22314|UBA1_HUMAN	sp|Q99344|UBA3_YEAST	27.099	262	103	2.28e-25
sp|P22314|UBA1_HUMAN	sp|Q99344|UBA3_YEAST	33.333	93	45.8	4.80e-06
sp|P22314|UBA1_HUMAN	sp|P38820|UBA4_YEAST	28.994	169	66.6	1.90e-12
sp|P22314|UBA1_HUMAN	sp|P38820|UBA4_YEAST	26.974	152	45.8	6.02e-06
sp|P11388|TOP2A_HUMAN	sp|P06786|TOP2_YEAST	48.554	1176	1053	0.0
sp|P11586|C1TC_HUMAN	sp|P07245|C1TC_YEAST	57.550	947	1030	0.0
sp|P11586|C1TC_HUMAN	sp|P09440|C1TM_YEAST	55.920	946	1016	0.0
sp|Q99798|ACON_HUMAN	sp|P19414|ACON_YEAST	67.280	761	1070	0.0
sp|Q99798|ACON_HUMAN	sp|P39533|ACON2_YEAST	54.497	756	818	0.0
sp|P53621|COPA_HUMAN	sp|P53622|COPA_YEAST	44.075	1232	1049	0.0
sp|P53621|COPA_HUMAN	sp|P41811|COPB2_YEAST	25.795	818	241	2.52e-67
sp|P53621|COPA_HUMAN	sp|P25635|PWP2_YEAST	23.929	280	94.0	1.52e-20
sp|P53621|COPA_HUMAN	sp|P25635|PWP2_YEAST	20.915	306	65.5	9.73e-12
sp|P53621|COPA_HUMAN	sp|P38129|TAF5_YEAST	24.786	234	84.0	1.87e-17
sp|P53621|COPA_HUMAN	sp|P38129|TAF5_YEAST	20.779	231	69.3	5.12e-13
sp|P53621|COPA_HUMAN	sp|P38129|TAF5_YEAST	24.737	190	66.2	5.24e-12
sp|P53621|COPA_HUMAN	sp|P38129|TAF5_YEAST	23.295	176	58.5	1.17e-09
sp|P53621|COPA_HUMAN	sp|P38129|TAF5_YEAST	24.812	133	50.8	2.85e-07
sp|P53621|COPA_HUMAN	sp|Q12417|PRP46_YEAST	25.701	214	80.9	7.70e-17
sp|P53621|COPA_HUMAN	sp|Q12417|PRP46_YEAST	25.368	272	77.8	7.01e-16
sp|P53621|COPA_HUMAN	sp|Q12417|PRP46_YEAST	25.664	226	63.5	2.25e-11
sp|P53621|COPA_HUMAN	sp|Q12417|PRP46_YEAST	25.373	134	48.1	1.32e-06
sp|P53621|COPA_HUMAN	sp|P42841|PFS2_YEAST	22.311	251	79.7	2.00e-16
sp|P53621|COPA_HUMAN	sp|P42841|PFS2_YEAST	25.000	152	67.4	1.45e-12
sp|P53621|COPA_HUMAN	sp|P42841|PFS2_YEAST	24.771	218	60.5	2.35e-10
sp|P53621|COPA_HUMAN	sp|P38011|GBLP_YEAST	23.891	293	75.5	1.42e-15
sp|P53621|COPA_HUMAN	sp|P38011|GBLP_YEAST	25.595	168	69.7	1.22e-13
sp|P53621|COPA_HUMAN	sp|P38011|GBLP_YEAST	21.531	209	54.3	1.11e-08
sp|P53621|COPA_HUMAN	sp|P25382|NLE1_YEAST	26.132	287	76.6	2.05e-15
sp|P53621|COPA_HUMAN	sp|P25382|NLE1_YEAST	24.585	301	76.3	2.97e-15
sp|P53621|COPA_HUMAN	sp|P25382|NLE1_YEAST	23.868	243	73.6	2.05e-14
sp|P53621|COPA_HUMAN	sp|P25382|NLE1_YEAST	22.956	318	58.9	7.97e-10
sp|P53621|COPA_HUMAN	sp|Q05946|UTP13_YEAST	21.843	293	72.4	6.49e-14
sp|P53621|COPA_HUMAN	sp|Q05946|UTP13_YEAST	21.854	151	61.2	2.01e-10
sp|P53621|COPA_HUMAN	sp|Q12220|UTP12_YEAST	25.478	157	67.4	2.42e-12
sp|P53621|COPA_HUMAN	sp|Q12220|UTP12_YEAST	26.316	114	57.0	4.03e-09
sp|P53621|COPA_HUMAN	sp|Q12220|UTP12_YEAST	20.519	424	57.0	4.24e-09
sp|P53621|COPA_HUMAN	sp|Q12220|UTP12_YEAST	25.128	195	47.0	4.29e-06
sp|P53621|COPA_HUMAN	sp|Q06078|UTP21_YEAST	27.333	150	65.1	1.31e-11
sp|P53621|COPA_HUMAN	sp|Q06078|UTP21_YEAST	29.710	138	56.2	5.85e-09
sp|P53621|COPA_HUMAN	sp|P20053|PRP4_YEAST	23.636	220	60.5	2.23e-10
sp|P53621|COPA_HUMAN	sp|P41318|LST8_YEAST	20.913	263	59.3	2.36e-10
sp|P53621|COPA_HUMAN	sp|P41318|LST8_YEAST	19.322	295	48.9	5.77e-07
sp|P53621|COPA_HUMAN	sp|Q05583|CIAO1_YEAST	23.697	211	57.0	1.66e-09
sp|P53621|COPA_HUMAN	sp|Q05583|CIAO1_YEAST	27.344	128	51.2	1.02e-07
sp|P53621|COPA_HUMAN	sp|Q05583|CIAO1_YEAST	23.497	183	50.4	2.07e-07
sp|P53621|COPA_HUMAN	sp|P40968|PRP17_YEAST	22.977	309	54.3	1.63e-08
sp|P53621|COPA_HUMAN	sp|P36037|DOA1_YEAST	22.932	266	53.9	2.83e-08
sp|P53621|COPA_HUMAN	sp|P33750|DCA13_YEAST	23.048	269	47.8	1.91e-06
sp|P53621|COPA_HUMAN	sp|Q04660|ERB1_YEAST	24.713	174	47.4	2.86e-06
sp|O14980|XPO1_HUMAN	sp|P30822|XPO1_YEAST	46.994	1081	1031	0.0
