human_protein,rank,yeast_protein,similarity_score
Q9NU22,18,P32600,-0.4012463
Q9NU22,19,Q12754,-0.40148437
Q9NU22,20,P38859,-0.40190086
Q14204,1,Q06706,-0.21093507
Q14204,2,Q00955,-0.22898394
Q14204,3,P32600,-0.23014788
Q14204,4,P53258,-0.23364638
Q14204,5,P32492,-0.23641959
Q14204,6,P32333,-0.23655781
Q14204,7,P53622,-0.23716807
Q14204,8,P30822,-0.24474666
Q14204,9,P54860,-0.24648026
Q14204,10,P35169,-0.2500353
Q14204,11,Q06698,-0.25081712
Q14204,12,Q08204,-0.25347123
Q14204,13,P22543,-0.25398654
Q14204,14,Q12018,-0.25496307
Q14204,15,P41810,-0.25514552
Q14204,16,P22137,-0.25989562
Q14204,17,P35845,-0.2665958
Q14204,18,Q07878,-0.2668798
Q14204,19,P32849,-0.26752892
Q14204,20,P33892,-0.26785678
O00763,1,Q00955,-0.1811594
O00763,2,P32874,-0.23741412
O00763,3,P32333,-0.2533984
O00763,4,P32562,-0.26527262
O00763,5,P32863,-0.26895258
O00763,6,P53622,-0.27142507
O00763,7,P38086,-0.27484587
O00763,8,Q06685,-0.27613533
O00763,9,P21951,-0.27801198
O00763,10,P07271,-0.2832796
O00763,11,P22543,-0.28541744
O00763,12,P53258,-0.28725272
O00763,13,P30771,-0.2895132
O00763,14,P33760,-0.29029015
O00763,15,Q04585,-0.29092556
O00763,16,P38766,-0.29251745
O00763,17,P32600,-0.29409358
O00763,18,P22204,-0.29507652
O00763,19,P32328,-0.29692003
O00763,20,Q06706,-0.29722142
P42345,1,P32600,-0.15863937
P42345,2,P35169,-0.1743775
P42345,3,P32333,-0.21538004
P42345,4,P33892,-0.22215484
P42345,5,P11075,-0.22844717
P42345,6,P38873,-0.24061222
P42345,7,Q06706,-0.24143198
P42345,8,P30822,-0.24453805
P42345,9,P38217,-0.24464582
P42345,10,Q06708,-0.24492776
P42345,11,Q06156,-0.24676484
P42345,12,P53258,-0.2513156
P42345,13,P53622,-0.25199914
P42345,14,P54860,-0.25226393
P42345,15,P27351,-0.2597645
P42345,16,P19735,-0.26013908
P42345,17,P22137,-0.26068425
P42345,18,Q12754,-0.2608258
P42345,19,Q04958,-0.2626637
P42345,20,P46970,-0.26359975
Q13085,1,Q00955,-0.15088005
Q13085,2,P32874,-0.19681789
Q13085,3,P32333,-0.23503013
Q13085,4,P21951,-0.249247
Q13085,5,P32562,-0.25328237
Q13085,6,P33760,-0.2549628
Q13085,7,P32863,-0.26005423
Q13085,8,P22543,-0.26589152
Q13085,9,P38086,-0.2670097
Q13085,10,Q04585,-0.2691959
Q13085,11,P30771,-0.26935852
Q13085,12,P53258,-0.2700162
Q13085,13,P53622,-0.27009565
Q13085,14,P14284,-0.27237758
Q13085,15,P32600,-0.2747169
Q13085,16,Q06685,-0.27614662
Q13085,17,P22204,-0.27913612
Q13085,18,P32328,-0.2807551
Q13085,19,P24004,-0.2807862
Q13085,20,P07271,-0.2814607
Q00610,1,P22137,-0.16187616
Q00610,2,P53622,-0.21127197
Q00610,3,P30822,-0.21988806
Q00610,4,P32337,-0.2260978
Q00610,5,P38217,-0.23512216
Q00610,6,Q06706,-0.24070686
Q00610,7,P40069,-0.24327697
Q00610,8,P41810,-0.24892989
Q00610,9,P32492,-0.25759324
Q00610,10,P13045,-0.26275286
Q00610,11,P41811,-0.26310498
Q00610,12,P32639,-0.26745892
Q00610,13,P32600,-0.26828113
Q00610,14,P19524,-0.26854283
Q00610,15,P36000,-0.27001572
Q00610,16,Q12018,-0.27041596
Q00610,17,P46970,-0.27047157
Q00610,18,P36037,-0.27247554
Q00610,19,P32074,-0.27660164
Q00610,20,Q06078,-0.27974603
Q07864,1,Q00955,-0.26240343
Q07864,2,P21951,-0.26813805
Q07864,3,P32562,-0.29695958
Q07864,4,P14284,-0.29769358
Q07864,5,Q06685,-0.30198887
Q07864,6,Q06706,-0.30496588
Q07864,7,P22543,-0.3060715
Q07864,8,P53258,-0.30655736
Q07864,9,P53622,-0.3066122
Q07864,10,P32874,-0.30939856
Q07864,11,P32333,-0.31052276
Q07864,12,P30771,-0.31430158
Q07864,13,P13382,-0.317543
Q07864,14,Q12149,-0.3189688
Q07864,15,P32863,-0.3191104
Q07864,16,P42837,-0.32050925
Q07864,17,P38086,-0.321098
Q07864,18,P07271,-0.32278427
Q07864,19,P32328,-0.32312754
Q07864,20,P50942,-0.32452136
Q8N3C0,1,Q06224,-0.18188891
Q8N3C0,2,P53893,-0.18571669
Q8N3C0,3,P53327,-0.18810011
Q8N3C0,4,P23337,-0.20171627
Q8N3C0,5,P04819,-0.20727381
Q8N3C0,6,P38132,-0.20766462
Q8N3C0,7,P32363,-0.20810291
Q8N3C0,8,P47047,-0.21116254
Q8N3C0,9,P25847,-0.21683837
Q8N3C0,10,Q08645,-0.21698706
Q8N3C0,11,P53290,-0.2190295
Q8N3C0,12,P04051,-0.22024034
Q8N3C0,13,P08432,-0.2203187
Q8N3C0,14,P06839,-0.22234246
Q8N3C0,15,Q08162,-0.22280963
Q8N3C0,16,Q02939,-0.22425808
Q8N3C0,17,P38238,-0.2270311
Q8N3C0,18,Q12362,-0.2286027
Q8N3C0,19,P39986,-0.22867666
Q8N3C0,20,P29468,-0.22904083
O75643,1,P47047,-0.15464358
O75643,2,P23337,-0.20714635
O75643,3,P18759,-0.20760536
O75643,4,Q00578,-0.2193036
O75643,5,P53893,-0.22124346
O75643,6,P53914,-0.22600175
O75643,7,P06839,-0.22896248
O75643,8,P38132,-0.22995138
O75643,9,Q06218,-0.23106535
O75643,10,Q08162,-0.23636313
O75643,11,P31244,-0.23655021
O75643,12,P04050,-0.23813716
O75643,13,P21576,-0.23871137
O75643,14,P53131,-0.23930413
O75643,15,Q02939,-0.23959397
O75643,16,P04819,-0.24077123
O75643,17,P53290,-0.24121588
O75643,18,P32363,-0.24127378
O75643,19,Q03330,-0.24601458
O75643,20,P54861,-0.24630144
P30876,1,P08518,-0.10582297
P30876,2,P22276,-0.16637748
P30876,3,P38795,-0.24767104
P30876,4,P21672,-0.26918724
P30876,5,P07703,-0.27351522
P30876,6,P21524,-0.27451944
P30876,7,P11986,-0.27514556
P30876,8,P47047,-0.27583587
P30876,9,P53914,-0.27592787
P30876,10,P23337,-0.27844718
P30876,11,P32288,-0.2790406
P30876,12,P16140,-0.27914643
P30876,13,P32327,-0.28293875
P30876,14,P11154,-0.28385937
P30876,15,P32324,-0.28413874
P30876,16,P12385,-0.2856238
P30876,17,P36132,-0.28578502
P30876,18,P53295,-0.28724635
P30876,19,P09201,-0.28772235
P30876,20,P08679,-0.28887674
Q9NW08,1,P22276,-0.1087651
Q9NW08,2,P08518,-0.16511552
Q9NW08,3,P38795,-0.23413031
Q9NW08,4,Q06817,-0.26998726
Q9NW08,5,Q12109,-0.27377078
Q9NW08,6,P32327,-0.27516648
Q9NW08,7,P11154,-0.27623576
Q9NW08,8,P39958,-0.27665702
Q9NW08,9,P21672,-0.2793678
Q9NW08,10,P47047,-0.28052375
Q9NW08,11,P15624,-0.28098175
Q9NW08,12,P07703,-0.28154013
Q9NW08,13,P23337,-0.2820506
Q9NW08,14,P21524,-0.28398514
Q9NW08,15,P38088,-0.28515768
Q9NW08,16,P22515,-0.2894128
Q9NW08,17,P11986,-0.28960454
Q9NW08,18,P18759,-0.2898797
Q9NW08,19,P53914,-0.29120997
Q9NW08,20,P07259,-0.2915488
O14802,1,P04051,-0.14125334
O14802,2,P23337,-0.18323664
O14802,3,P04050,-0.19546203
O14802,4,P22276,-0.20157045
O14802,5,P15436,-0.20300822
O14802,6,P47047,-0.20450735
O14802,7,P08518,-0.2058275
O14802,8,Q08162,-0.20855962
O14802,9,P40487,-0.215581
O14802,10,P27472,-0.21726781
O14802,11,P17255,-0.22122215
O14802,12,P29468,-0.22684047
O14802,13,Q06817,-0.22941875
O14802,14,P53914,-0.23128247
O14802,15,P18759,-0.23129483
O14802,16,P23287,-0.23281585
O14802,17,P32604,-0.23557484
O14802,18,P43123,-0.24011886
O14802,19,P06786,-0.24071655
O14802,20,Q03330,-0.24098274
Q9Y4A5,1,P38811,-0.21505779
Q9Y4A5,2,Q03280,-0.22655274
Q9Y4A5,3,P38111,-0.23743255
Q9Y4A5,4,P25655,-0.23753938
Q9Y4A5,5,P35194,-0.23891003
Q9Y4A5,6,P37297,-0.24239592
Q9Y4A5,7,P38737,-0.24713337
Q9Y4A5,8,P38110,-0.26095238
Q9Y4A5,9,Q00416,-0.2720474
Q9Y4A5,10,P34110,-0.2793386
Q9Y4A5,11,Q12019,-0.28582898
Q9Y4A5,12,Q04693,-0.29319388
Q9Y4A5,13,P47102,-0.29388517
Q9Y4A5,14,P53886,-0.29447192
Q9Y4A5,15,P36022,-0.29969183
Q9Y4A5,16,P25356,-0.30186746
Q9Y4A5,17,Q12754,-0.3061009
Q9Y4A5,18,P38164,-0.3062875
Q9Y4A5,19,P33202,-0.31858656
Q9Y4A5,20,P35169,-0.31904143
P11498,1,P11154,-0.15975668
P11498,2,P32327,-0.16091105
P11498,3,P52489,-0.22426705
P11498,4,P00549,-0.22813608
P11498,5,P09440,-0.22867659
P11498,6,P37292,-0.2296272
P11498,7,P07245,-0.2304631
P11498,8,P41819,-0.23357058
P11498,9,P21524,-0.23638223
P11498,10,P38795,-0.2426348
P11498,11,P38891,-0.2432863
P11498,12,P32324,-0.24366815
P11498,13,P21672,-0.24518192
P11498,14,P54113,-0.24542864
P11498,15,P15180,-0.24546662
P11498,16,P50095,-0.24640322
P11498,17,P38697,-0.24713828
P11498,18,P39729,-0.24805349
P11498,19,P25039,-0.24849246
P11498,20,P07259,-0.24875411
O14841,1,P21801,-0.42020622
O14841,2,P07244,-0.42203292
O14841,3,P07991,-0.42215654
O14841,4,P36007,-0.42376903
O14841,5,P39954,-0.43041128
O14841,6,Q00711,-0.43166706
O14841,7,P52489,-0.43229923
O14841,8,P49090,-0.43256646
O14841,9,P19073,-0.432915
O14841,10,P47052,-0.4339402
O14841,11,P25454,-0.4349562
O14841,12,P49089,-0.438111
O14841,13,P25374,-0.43914402
O14841,14,P53319,-0.43928057
O14841,15,P25694,-0.44090307
O14841,16,P38009,-0.4424998
O14841,17,P54113,-0.44280946
O14841,18,P08417,-0.4438668
O14841,19,P52917,-0.44539303
O14841,20,P46969,-0.44553274
P41252,1,Q05506,-0.23450449
P41252,2,P07259,-0.24359806
P41252,3,Q06817,-0.24758081
P41252,4,P32327,-0.24995455
P41252,5,P07258,-0.2523699
P41252,6,P07806,-0.25281018
P41252,7,P53070,-0.2566811
P41252,8,Q07729,-0.25749978
P41252,9,P53131,-0.2584391
P41252,10,P32861,-0.2591462
P41252,11,P11154,-0.2601667
P41252,12,P38707,-0.26042244
P41252,13,P14742,-0.2605284
P41252,14,P40825,-0.26167315
P41252,15,P38628,-0.26202935
P41252,16,P27697,-0.2625889
P41252,17,P38793,-0.26527065
P41252,18,P32528,-0.26630622
P41252,19,P38238,-0.26655734
P41252,20,P52892,-0.2666782
P13639,1,P32324,-0.17793669
P13639,2,P02994,-0.24266085
P13639,3,Q03195,-0.24857539
P13639,4,P16140,-0.26028755
P13639,5,P39729,-0.2756556
P13639,6,P25694,-0.27585542
P13639,7,P32481,-0.27591974
P13639,8,P41819,-0.27608395
P13639,9,P47052,-0.28036073
P13639,10,P39077,-0.2841084
P13639,11,P21954,-0.28549218
P13639,12,P42943,-0.2901315
P13639,13,Q00711,-0.29029554
P13639,14,P32561,-0.29202852
P13639,15,P32836,-0.29642767
P13639,16,P12385,-0.2966243
P13639,17,P36132,-0.29793355
P13639,18,P33297,-0.29799256
P13639,19,Q01939,-0.29928547
P13639,20,P32835,-0.30121413
P55072,1,P25694,-0.18045865
P55072,2,Q01939,-0.20575103
P55072,3,Q03532,-0.24708095
P55072,4,P33297,-0.25563976
P55072,5,P52917,-0.26105386
P55072,6,P32835,-0.28740394
P55072,7,P32836,-0.28780413
P55072,8,Q03195,-0.30001223
P55072,9,P41940,-0.30119962
P55072,10,P32598,-0.30122
P55072,11,P10081,-0.3016423
P55072,12,P09435,-0.31078458
P55072,13,P33298,-0.3185269
P55072,14,P41819,-0.3213108
P55072,15,P02994,-0.3232093
P55072,16,P13393,-0.3252237
P55072,17,P19073,-0.3335756
P55072,18,P29311,-0.33707365
P55072,19,P22202,-0.3379608
P55072,20,P39076,-0.33842063
O14981,1,P32333,-0.15677476
O14981,2,P32863,-0.22253864
O14981,3,P53622,-0.2349384
O14981,4,P49955,-0.24145423
O14981,5,P30771,-0.2434373
O14981,6,P41810,-0.25256586
O14981,7,P15938,-0.25300178
O14981,8,P32562,-0.25453377
O14981,9,P12683,-0.25620672
O14981,10,P38086,-0.25688422
O14981,11,P33760,-0.26028252
O14981,12,P24583,-0.26066735
O14981,13,Q04585,-0.26101345
O14981,14,P36120,-0.26595488
O14981,15,Q06708,-0.2676557
O14981,16,P18961,-0.26835713
O14981,17,P32600,-0.26962766
O14981,18,Q12469,-0.27007192
O14981,19,Q00955,-0.27269495
O14981,20,P38360,-0.27270862
Q9H0A0,1,P53914,-0.21417573
Q9H0A0,2,P47047,-0.22610927
Q9H0A0,3,P53742,-0.24511518
Q9H0A0,4,Q03195,-0.24812393
Q9H0A0,5,Q00578,-0.2528505
Q9H0A0,6,P38795,-0.27540597
Q9H0A0,7,P32481,-0.2755502
Q9H0A0,8,P43588,-0.28517786
Q9H0A0,9,P53088,-0.28616363
Q9H0A0,10,P22515,-0.2871837
Q9H0A0,11,P41819,-0.28928643
Q9H0A0,12,P33322,-0.2893019
Q9H0A0,13,P38861,-0.28992203
Q9H0A0,14,P12385,-0.29010025
Q9H0A0,15,P54861,-0.2930783
Q9H0A0,16,P04050,-0.29470202
Q9H0A0,17,Q03940,-0.2964361
Q9H0A0,18,Q12464,-0.2982155
Q9H0A0,19,Q99216,-0.3030993
Q9H0A0,20,P40991,-0.30412126
P23921,1,P21524,-0.1901184
P23921,2,P21672,-0.20450231
P23921,3,P16140,-0.22384508
P23921,4,P54113,-0.24784186
P23921,5,P21954,-0.2533633
P23921,6,P38009,-0.25790384
P23921,7,Q05911,-0.26258507
P23921,8,P41939,-0.26269647
P23921,9,P19414,-0.2638415
P23921,10,P47052,-0.26413378
P23921,11,Q00711,-0.2660872
P23921,12,Q03195,-0.2682781
P23921,13,P36132,-0.26958582
P23921,14,P37291,-0.27665487
P23921,15,P53319,-0.27671242
P23921,16,P39954,-0.27826607
P23921,17,P38720,-0.27952138
P23921,18,P39729,-0.27969787
P23921,19,P32561,-0.2803317
P23921,20,P12385,-0.28239372
O95602,1,P10964,-0.19544062
O95602,2,P04051,-0.23349416
O95602,3,P13382,-0.23443818
O95602,4,Q06685,-0.24968253
O95602,5,Q06224,-0.25439632
O95602,6,Q04439,-0.25506887
O95602,7,Q00955,-0.25556067
O95602,8,P39006,-0.25625858
O95602,9,P35207,-0.25637424
O95602,10,P30771,-0.25718904
O95602,11,P36006,-0.2572608
O95602,12,P53622,-0.258423
O95602,13,Q12675,-0.26135153
O95602,14,P32863,-0.26422486
O95602,15,P32639,-0.26485616
O95602,16,Q12362,-0.2651563
O95602,17,Q06706,-0.26540554
O95602,18,P53327,-0.26551422
O95602,19,Q02792,-0.26684284
O95602,20,Q04585,-0.2670218
P42285,1,P47047,-0.15283209
P42285,2,Q03195,-0.20291482
P42285,3,P41819,-0.21672314
P42285,4,P32481,-0.23170795
P42285,5,P53742,-0.23711708
P42285,6,Q00578,-0.24662471
P42285,7,P53088,-0.24742043
P42285,8,P38795,-0.24743438
P42285,9,P53914,-0.25245267
P42285,10,P23594,-0.25564858
P42285,11,P25694,-0.25847274
P42285,12,P33298,-0.2604304
P42285,13,P23595,-0.26178774
P42285,14,P12385,-0.2621345
P42285,15,P54861,-0.26259774
P42285,16,P20459,-0.26619795
P42285,17,P22515,-0.26833153
P42285,18,P33322,-0.26899385
P42285,19,P13393,-0.26923624
P42285,20,P26793,-0.27093816
P33527,1,Q01939,-0.27514997
P33527,2,P41819,-0.27960503
P33527,3,Q03532,-0.28722632
P33527,4,Q03195,-0.28730673
P33527,5,P25694,-0.30084845
P33527,6,P41940,-0.30932802
P33527,7,P40348,-0.3099878
P33527,8,P33297,-0.31451708
P33527,9,P33298,-0.3154764
P33527,10,P39076,-0.3175545
P33527,11,P52917,-0.3215813
P33527,12,P04710,-0.32214025
P33527,13,P40558,-0.32409194
P33527,14,P20604,-0.3241037
P33527,15,P50085,-0.32492077
P33527,16,P27697,-0.32727313
P33527,17,P39517,-0.3275788
P33527,18,P25453,-0.32838553
P33527,19,P23594,-0.32987458
P33527,20,P42943,-0.32997477
P22314,1,Q03195,-0.24594048
P22314,2,P41819,-0.28539115
P22314,3,P32481,-0.28678775
P22314,4,P53742,-0.28958142
P22314,5,P25694,-0.29008257
P22314,6,P38795,-0.30165732
P22314,7,P12385,-0.30183443
P22314,8,P13393,-0.3029533
P22314,9,P22515,-0.30351418
P22314,10,P21954,-0.30436602
P22314,11,P32561,-0.3075161
P22314,12,P52917,-0.30772206
P22314,13,P53088,-0.3120957
P22314,14,P32324,-0.31244203
P22314,15,P21801,-0.3130721
P22314,16,P47047,-0.313222
P22314,17,P41940,-0.3149937
P22314,18,Q01939,-0.3150105
P22314,19,P33322,-0.31834054
P22314,20,P20459,-0.31936902
P11388,1,P47047,-0.20312835
P11388,2,P06786,-0.20590076
P11388,3,Q03330,-0.22795285
P11388,4,P39730,-0.23171142
P11388,5,P20448,-0.23581548
P11388,6,Q00578,-0.2371642
P11388,7,P04819,-0.24509293
P11388,8,P04050,-0.24682619
P11388,9,P40991,-0.24902353
P11388,10,P38793,-0.24969465
P11388,11,P31244,-0.25016865
P11388,12,P53742,-0.25164127
P11388,13,P38630,-0.2531424
P11388,14,P36775,-0.25771722
P11388,15,Q08649,-0.2578812
P11388,16,P38431,-0.2591567
P11388,17,P18759,-0.2592076
P11388,18,Q99216,-0.2593849
P11388,19,P53914,-0.25943348
P11388,20,P32597,-0.26028842
P11586,1,P07245,-0.18102367
P11586,2,P38009,-0.20598428
P11586,3,P54113,-0.21002145
P11586,4,P09440,-0.21727657
P11586,5,P39954,-0.21797082
P11586,6,P53319,-0.22508575
P11586,7,P38720,-0.22958918
P11586,8,P37291,-0.23847924
P11586,9,P39729,-0.23989026
P11586,10,P38627,-0.23996338
P11586,11,P42222,-0.24584904
P11586,12,Q03195,-0.24646114
P11586,13,P0CX10,-0.24796517
P11586,14,P19358,-0.24948038
P11586,15,P21954,-0.25029248
P11586,16,P38625,-0.25129458
P11586,17,Q05911,-0.25181344
P11586,18,P16140,-0.25181776
P11586,19,P10659,-0.2524944
P11586,20,P07244,-0.25311434
Q99798,1,P19414,-0.1319423
Q99798,2,P21954,-0.19386013
Q99798,3,P21524,-0.19386841
Q99798,4,P21672,-0.20500086
Q99798,5,P36132,-0.20522846
Q99798,6,P54113,-0.20724471
Q99798,7,P41939,-0.21656622
Q99798,8,P00890,-0.21872477
Q99798,9,P47052,-0.21949075
Q99798,10,Q00711,-0.22124352
Q99798,11,P38009,-0.2216096
Q99798,12,P04801,-0.22226575
Q99798,13,P38795,-0.22725075
Q99798,14,P37292,-0.22851515
Q99798,15,P37291,-0.22885646
Q99798,16,P16140,-0.22940207
Q99798,17,P25039,-0.23320046
Q99798,18,P32561,-0.23381497
Q99798,19,P38891,-0.23782685
Q99798,20,P08524,-0.23827326
P53621,1,P53622,-0.18480289
P53621,2,P41811,-0.21773975
P53621,3,P25635,-0.2462677
P53621,4,P30771,-0.24914885
P53621,5,Q12417,-0.25195226
P53621,6,Q12220,-0.2617261
P53621,7,P41810,-0.2619262
P53621,8,P24583,-0.26219067
P53621,9,Q06224,-0.26543596
P53621,10,P42935,-0.26678255
P53621,11,P49955,-0.26733753
P53621,12,P38328,-0.27071762
P53621,13,P38144,-0.27320805
P53621,14,Q04199,-0.27492094
P53621,15,P38132,-0.2762751
P53621,16,P32863,-0.28138962
P53621,17,P13382,-0.28143412
P53621,18,Q08773,-0.28203747
P53621,19,P32597,-0.28312862
P53621,20,Q04439,-0.28376976
O14980,1,P30822,-0.17216006
O14980,2,P49955,-0.19154294
O14980,3,P41810,-0.21180022
O14980,4,P38217,-0.21862847
O14980,5,P32337,-0.2261286
O14980,6,P53622,-0.24344304
O14980,7,P33307,-0.25426784
O14980,8,Q06142,-0.2588106
O14980,9,P40069,-0.26185024
O14980,10,P19524,-0.26566076
O14980,11,P32333,-0.26831228
O14980,12,P38329,-0.27095923
O14980,13,P36000,-0.27275676
O14980,14,P16522,-0.27843577
O14980,15,P32501,-0.27884686
O14980,16,P12683,-0.27940798
O14980,17,P32600,-0.28121266
O14980,18,P32565,-0.28128028
O14980,19,P32074,-0.2816713
O14980,20,P32492,-0.28247398
P23378,1,P49095,-0.24256662
P23378,2,P37292,-0.24442883
P23378,3,P07244,-0.25151968
P23378,4,P54113,-0.25858927
P23378,5,P0CX10,-0.2588849
P23378,6,P42222,-0.25934294
P23378,7,P39954,-0.26337397
P23378,8,P25453,-0.26956454
P23378,9,P51601,-0.27003348
P23378,10,P09440,-0.27214628
P23378,11,P32327,-0.27449277
P23378,12,P11154,-0.2747874
P23378,13,P37291,-0.27616674
P23378,14,P53070,-0.2762948
P23378,15,P38009,-0.2763653
P23378,16,P21801,-0.27845326
P23378,17,P32473,-0.27902576
P23378,18,P25039,-0.27955607
P23378,19,P08417,-0.28175494
P23378,20,Q05911,-0.2819503
P26640,1,P25454,-0.41416588
P26640,2,P25374,-0.41718447
P26640,3,P07244,-0.42368013
P26640,4,P52489,-0.42815793
P26640,5,P06245,-0.43467414
P26640,6,P38707,-0.43581355
P26640,7,P49089,-0.43583983
P26640,8,Q05506,-0.43628174
P26640,9,P11484,-0.43643826
P26640,10,P49090,-0.4365378
P26640,11,P40150,-0.4369717
P26640,12,P32327,-0.43913576
P26640,13,P33298,-0.43992612
P26640,14,P52920,-0.4406119
P26640,15,P15180,-0.44088942
P26640,16,P11154,-0.44361308
P26640,17,P51601,-0.44397983
P26640,18,P05373,-0.44435474
P26640,19,Q00055,-0.44468132
P26640,20,P14742,-0.44581556
Q92616,1,P49955,-0.2714149
Q92616,2,P32333,-0.2818072
Q92616,3,P33892,-0.28995943
Q92616,4,P53622,-0.3066733
Q92616,5,P32600,-0.31334785
Q92616,6,P41810,-0.3158258
Q92616,7,P32337,-0.32757935
Q92616,8,P38217,-0.3298051
Q92616,9,P30822,-0.33028087
Q92616,10,P12683,-0.33030677
Q92616,11,P40069,-0.33290473
Q92616,12,Q06708,-0.33389425
Q92616,13,P35169,-0.33724967
Q92616,14,P36000,-0.33884406
Q92616,15,Q06156,-0.33942538
Q92616,16,P38360,-0.3531719
Q92616,17,P11075,-0.35892713
Q92616,18,P38329,-0.36361432
Q92616,19,P12684,-0.36390984
Q92616,20,P41811,-0.36458135
P28340,1,P25454,-0.33484954
P28340,2,Q00578,-0.33728978
P28340,3,P53131,-0.34096864
P28340,4,P53742,-0.3410834
P28340,5,P47047,-0.34741122
P28340,6,P38793,-0.357349
P28340,7,P32861,-0.36218637
P28340,8,P53088,-0.36713102
P28340,9,P51601,-0.36739224
P28340,10,P38088,-0.37032726
P28340,11,P04050,-0.3713568
P28340,12,P41819,-0.37314177
P28340,13,P15303,-0.3736522
P28340,14,P38795,-0.37374976
P28340,15,P32327,-0.37380317
P28340,16,Q00055,-0.37445304
P28340,17,P32481,-0.3752602
P28340,18,P43588,-0.3757631
P28340,19,P49090,-0.37871432
P28340,20,P11154,-0.37882772
Q9Y2Q0,1,P53131,-0.22145039
Q9Y2Q0,2,P47047,-0.23053344
Q9Y2Q0,3,P27697,-0.23738296
Q9Y2Q0,4,Q00055,-0.23949978
Q9Y2Q0,5,P40527,-0.2471102
Q9Y2Q0,6,P25453,-0.247406
Q9Y2Q0,7,P38795,-0.24823125
Q9Y2Q0,8,P32327,-0.24930237
Q9Y2Q0,9,P20604,-0.25086236
Q9Y2Q0,10,P23594,-0.25409934
Q9Y2Q0,11,P23595,-0.2546494
Q9Y2Q0,12,P11154,-0.25531703
Q9Y2Q0,13,P51601,-0.2574325
Q9Y2Q0,14,P38074,-0.2578321
Q9Y2Q0,15,P41819,-0.25791427
Q9Y2Q0,16,P21576,-0.26108724
Q9Y2Q0,17,P39109,-0.26202232
Q9Y2Q0,18,P39007,-0.2659025
Q9Y2Q0,19,P20133,-0.26682165
Q9Y2Q0,20,P40348,-0.26732773
O43861,1,P41819,-0.26907074
O43861,2,P40527,-0.27470052
O43861,3,Q03195,-0.2821315
O43861,4,P23594,-0.2885309
O43861,5,P39517,-0.29027453
O43861,6,P33298,-0.29279774
O43861,7,P38795,-0.29553944
O43861,8,P23595,-0.30269492
O43861,9,P27697,-0.3047322
O43861,10,P47047,-0.3065617
O43861,11,P40558,-0.30759028
O43861,12,Q03532,-0.30986753
O43861,13,Q01939,-0.3098834
O43861,14,P20604,-0.31064954
O43861,15,Q05506,-0.3111931
O43861,16,P53088,-0.31291318
O43861,17,P25694,-0.3137658
O43861,18,P25454,-0.31691098
O43861,19,P36132,-0.3179453
O43861,20,P07259,-0.32369298
P11142,1,P10592,-0.36391342
P11142,2,P10591,-0.36425507
P11142,3,P22202,-0.39362273
P11142,4,P60010,-0.40517187
P11142,5,P09435,-0.4156335
P11142,6,P29311,-0.44645378
P11142,7,P00830,-0.45403022
P11142,8,P32835,-0.45545396
P11142,9,P34730,-0.4583412
P11142,10,P32836,-0.4654654
P11142,11,P02994,-0.471436
P11142,12,P32598,-0.47260574
