Yeast_STRING_ID	Human_STRING_ID	BitScore
4932.YMR303C	9606.ENSP00000306606	89.7
4932.YOL121C	9606.ENSP00000470972	147.5
4932.YER171W	9606.ENSP00000375809	835.9
4932.YGL253W	9606.ENSP00000346643	270.0
4932.YDR064W	9606.ENSP00000435777	250.8
4932.YJR048W	9606.ENSP00000307786	141.4
4932.YMR108W	9606.ENSP00000323811	130.2
4932.YHR174W	9606.ENSP00000324105	568.5
4932.YJL080C	9606.ENSP00000375836	171.0
4932.YHR013C	9606.ENSP00000417763	168.7
4932.YPR191W	9606.ENSP00000268379	62.0
4932.YML032C	9606.ENSP00000351284	173.7
4932.YDR216W	9606.ENSP00000492887	68.2
4932.YDL042C	9606.ENSP00000212015	223.4
4932.YGL009C	9606.ENSP00000216254	139.4
4932.YPL081W	9606.ENSP00000375632	276.2
4932.YNR001C	9606.ENSP00000342056	602.1
4932.YGR264C	9606.ENSP00000262027	634.8
4932.YPL203W	9606.ENSP00000309591	358.2
4932.Q0110	9606.ENSP00000354554	176.0
4932.YEL024W	9606.ENSP00000306397	232.3
4932.YJR057W	9606.ENSP00000304802	161.8
4932.YEL021W	9606.ENSP00000232607	250.4
4932.YPR033C	9606.ENSP00000425634	479.9
4932.YGL043W	9606.ENSP00000428426	140.6
4932.YLR303W	9606.ENSP00000359976	201.8
4932.YCR031C	9606.ENSP00000385958	234.6
4932.Q0045	9606.ENSP00000354499	620.2
4932.YLR029C	9606.ENSP00000309334	303.9
4932.YFL009W	9606.ENSP00000474725	229.2
4932.YDL081C	9606.ENSP00000346037	87.4
4932.YGR254W	9606.ENSP00000324105	577.8
4932.YML054C	9606.ENSP00000368066	258.1
4932.YML095C	9606.ENSP00000013807	77.0
4932.YNL178W	9606.ENSP00000278572	302.0
4932.YOL086C	9606.ENSP00000306606	93.6
4932.YOR074C	9606.ENSP00000315644	375.6
4932.YNL055C	9606.ENSP00000428845	113.2
4932.YOR274W	9606.ENSP00000321810	224.2
4932.YPL154C	9606.ENSP00000236671	299.3
4932.Q0275	9606.ENSP00000354982	242.7
4932.YJL052W	9606.ENSP00000380070	449.5
4932.YER165W	9606.ENSP00000313007	486.1
4932.YBR093C	9606.ENSP00000361064	73.6
4932.YDL164C	9606.ENSP00000263274	575.1
4932.YDL108W	9606.ENSP00000256443	290.4
4932.YDR382W	9606.ENSP00000431240	114.8
4932.YGL031C	9606.ENSP00000377640	142.1
4932.YLR448W	9606.ENSP00000403172	145.6
4932.YIL033C	9606.ENSP00000265563	218.8
4932.YOR122C	9606.ENSP00000322170	68.9
4932.YKL184W	9606.ENSP00000234111	333.6
4932.YGL103W	9606.ENSP00000346015	188.7
4932.YPR110C	9606.ENSP00000496044	315.1
4932.YBL002W	9606.ENSP00000445831	181.0
4932.YPR047W	9606.ENSP00000316335	309.7
4932.YDR477W	9606.ENSP00000360290	414.8
4932.Q0060	9606.ENSP00000354499	94.0
4932.YBR020W	9606.ENSP00000453129	262.3
4932.YJR009C	9606.ENSP00000380070	451.1
4932.YGL040C	9606.ENSP00000386284	356.3
4932.YMR194W	9606.ENSP00000464342	96.3
4932.YKL182W	9606.ENSP00000411960	55.1
4932.YKL166C	9606.ENSP00000309591	345.1
4932.YBR243C	9606.ENSP00000386597	302.0
4932.YPL022W	9606.ENSP00000310520	406.0
4932.YMR056C	9606.ENSP00000370808	291.2
4932.YDL140C	9606.ENSP00000361446	729.9
4932.YJL128C	9606.ENSP00000262948	258.8
4932.YNL121C	9606.ENSP00000284320	138.7
4932.YDR146C	9606.ENSP00000463287	83.2
4932.YOR116C	9606.ENSP00000361446	1416.7
4932.YKL180W	9606.ENSP00000463842	205.7
4932.YJL164C	9606.ENSP00000359719	354.4
4932.YBR160W	9606.ENSP00000410561	392.1
4932.YOR257W	9606.ENSP00000359300	167.9
4932.YLR442C	9606.ENSP00000360623	57.0
4932.YNL302C	9606.ENSP00000470972	144.1
4932.YLR340W	9606.ENSP00000449328	358.2
4932.YBR109C	9606.ENSP00000291295	195.7
4932.YOL127W	9606.ENSP00000389103	180.3
4932.YIL038C	9606.ENSP00000351159	216.9
4932.YPR113W	9606.ENSP00000219789	149.1
4932.Q0105	9606.ENSP00000354554	394.4
4932.YJR104C	9606.ENSP00000270142	167.9
4932.YPL111W	9606.ENSP00000349446	221.9
4932.YPL143W	9606.ENSP00000495672	107.1
4932.YLR167W	9606.ENSP00000272317	253.8
4932.YMR208W	9606.ENSP00000228510	195.3
4932.YDL165W	9606.ENSP00000229195	87.4
4932.YEL020W-A	9606.ENSP00000378588	65.9
4932.YCR012W	9606.ENSP00000362413	545.0
4932.YNL088W	9606.ENSP00000411532	1093.6
4932.Q0085	9606.ENSP00000354632	116.3
4932.YPL262W	9606.ENSP00000355518	648.7
4932.YMR297W	9606.ENSP00000361562	179.9
4932.YOR361C	9606.ENSP00000354125	349.7
4932.YOL006C	9606.ENSP00000354522	563.9
4932.YFL038C	9606.ENSP00000387286	305.8
4932.YKL152C	9606.ENSP00000297283	265.0
4932.YOL139C	9606.ENSP00000497422	125.9
4932.YOR065W	9606.ENSP00000317159	307.8
4932.Q0120	9606.ENSP00000354554	300.8
4932.YGR258C	9606.ENSP00000498881	268.1
4932.YGL237C	9606.ENSP00000345702	99.8
4932.YOR101W	9606.ENSP00000256196	236.1
4932.YOR204W	9606.ENSP00000353284	597.0
4932.YPR165W	9606.ENSP00000400175	282.7
4932.YGL076C	9606.ENSP00000339795	250.4
4932.YFR053C	9606.ENSP00000223366	273.9
4932.YDR050C	9606.ENSP00000229270	274.2
4932.YDR529C	9606.ENSP00000430494	56.6
4932.YPL240C	9606.ENSP00000360609	893.3
4932.YDR225W	9606.ENSP00000434024	195.3
4932.YMR083W	9606.ENSP00000267814	92.8
4932.YJL088W	9606.ENSP00000039007	261.5
4932.YJR010W	9606.ENSP00000265174	122.5
4932.YJL153C	9606.ENSP00000337746	541.2
4932.YKL209C	9606.ENSP00000478255	463.8
4932.YHR005C	9606.ENSP00000497260	295.0
4932.YJL194W	9606.ENSP00000209728	143.7
4932.YDR283C	9606.ENSP00000263791	398.7
4932.YDR120C	9606.ENSP00000466967	348.6
4932.YPR183W	9606.ENSP00000360638	101.3
4932.YER020W	9606.ENSP00000497260	293.1
4932.YAL025C	9606.ENSP00000353246	258.5
4932.YBR089C-A	9606.ENSP00000354842	77.0
4932.YIL035C	9606.ENSP00000217244	422.5
4932.YLR354C	9606.ENSP00000321259	390.6
4932.YGR083C	9606.ENSP00000429323	237.3
4932.YPR192W	9606.ENSP00000421315	102.1
4932.YFL018C	9606.ENSP00000205402	554.7
4932.YBR143C	9606.ENSP00000353741	619.0
4932.YBR031W	9606.ENSP00000311430	425.2
4932.YDR170C	9606.ENSP00000360985	765.8
4932.YDR037W	9606.ENSP00000325448	666.4
4932.YJR045C	9606.ENSP00000297185	869.0
4932.YDL229W	9606.ENSP00000437125	733.4
4932.YKL024C	9606.ENSP00000360939	191.4
4932.YDR232W	9606.ENSP00000497236	391.0
4932.YLR333C	9606.ENSP00000435096	95.5
4932.YER162C	9606.ENSP00000285021	115.2
4932.YDL040C	9606.ENSP00000296543	323.9
4932.YBL021C	9606.ENSP00000240055	143.7
4932.YDR122W	9606.ENSP00000385751	235.0
4932.YDL130W	9606.ENSP00000346037	79.3
4932.YDR155C	9606.ENSP00000225174	236.5
4932.YMR231W	9606.ENSP00000481126	209.1
4932.YOR254C	9606.ENSP00000357998	119.0
4932.YIL034C	9606.ENSP00000401010	241.1
4932.YDL194W	9606.ENSP00000280871	160.2
4932.YAL005C	9606.ENSP00000437125	1010.4
4932.YKL104C	9606.ENSP00000253778	794.3
4932.YDL136W	9606.ENSP00000259469	121.7
4932.YGL115W	9606.ENSP00000287878	194.5
4932.YGR202C	9606.ENSP00000292823	242.7
4932.YLR060W	9606.ENSP00000281828	517.3
4932.YIR019C	9606.ENSP00000354573	56.2
4932.YCR005C	9606.ENSP00000342056	568.5
4932.YGL135W	9606.ENSP00000363018	271.6
4932.YOR260W	9606.ENSP00000353575	100.1
4932.YLR178C	9606.ENSP00000261313	62.8
4932.YAL040C	9606.ENSP00000282572	51.2
4932.YHR141C	9606.ENSP00000404375	158.3
4932.YBL027W	9606.ENSP00000225430	223.8
4932.YIL021W	9606.ENSP00000219252	228.4
4932.YNL082W	9606.ENSP00000265849	459.9
4932.YJL141C	9606.ENSP00000304226	271.9
4932.YBR112C	9606.ENSP00000442047	185.7
4932.YBR181C	9606.ENSP00000369757	296.2
4932.YLR234W	9606.ENSP00000321636	458.8
4932.YDR044W	9606.ENSP00000497326	344.0
4932.YBR048W	9606.ENSP00000270625	214.5
4932.YIL148W	9606.ENSP00000388107	240.0
4932.YPL117C	9606.ENSP00000370748	216.1
4932.YLL039C	9606.ENSP00000441543	725.7
4932.YFL036W	9606.ENSP00000465759	488.0
4932.YML098W	9606.ENSP00000355051	61.2
4932.YCL029C	9606.ENSP00000479322	60.8
4932.YHR205W	9606.ENSP00000451828	307.0
4932.YJL026W	9606.ENSP00000353770	473.8
4932.YHR203C	9606.ENSP00000362744	403.3
4932.YOR063W	9606.ENSP00000346001	551.6
4932.YER074W	9606.ENSP00000414321	156.0
4932.YER178W	9606.ENSP00000369134	384.0
4932.YLR450W	9606.ENSP00000287936	511.5
4932.YKR026C	9606.ENSP00000416250	230.3
4932.YBR127C	9606.ENSP00000276390	796.6
4932.YGL062W	9606.ENSP00000498994	1256.1
4932.YDR450W	9606.ENSP00000393241	218.0
4932.YML035C	9606.ENSP00000499465	677.2
4932.YNL250W	9606.ENSP00000368100	452.2
4932.YFR031C-A	9606.ENSP00000262584	392.9
4932.YJL005W	9606.ENSP00000262719	166.0
4932.YLR382C	9606.ENSP00000498867	543.9
4932.YLR377C	9606.ENSP00000408025	303.9
4932.YDR040C	9606.ENSP00000421326	346.7
4932.YOR120W	9606.ENSP00000361140	228.0
4932.YLL015W	9606.ENSP00000382342	868.6
4932.YCR066W	9606.ENSP00000264926	95.5
4932.YML085C	9606.ENSP00000248437	728.0
4932.YNL241C	9606.ENSP00000377192	451.8
4932.YGR152C	9606.ENSP00000250559	219.9
4932.YGR040W	9606.ENSP00000215832	352.8
4932.YLR180W	9606.ENSP00000361287	570.1
4932.YNL238W	9606.ENSP00000325917	389.4
4932.YMR043W	9606.ENSP00000265354	124.8
4932.YGL256W	9606.ENSP00000379865	103.6
4932.YOR341W	9606.ENSP00000263857	1112.8
4932.YNL301C	9606.ENSP00000447001	203.4
4932.YLR264W	9606.ENSP00000472469	99.4
4932.YOR330C	9606.ENSP00000399851	652.9
4932.YLR163C	9606.ENSP00000249269	396.0
4932.YDR059C	9606.ENSP00000381717	256.5
4932.YOR151C	9606.ENSP00000370625	1449.5
4932.YPL016W	9606.ENSP00000279873	57.4
4932.YKL022C	9606.ENSP00000348554	302.4
4932.YHR007C	9606.ENSP00000003100	323.6
4932.YKL103C	9606.ENSP00000431076	227.6
4932.YDR454C	9606.ENSP00000355689	167.9
4932.YLR096W	9606.ENSP00000385751	236.5
4932.YML057W	9606.ENSP00000378323	547.0
4932.YBR196C	9606.ENSP00000405573	654.4
4932.YML124C	9606.ENSP00000326042	713.0
4932.YDL014W	9606.ENSP00000221801	426.4
4932.YBR084W	9606.ENSP00000498336	1052.7
4932.YPL167C	9606.ENSP00000351697	630.2
4932.YBR088C	9606.ENSP00000368458	200.7
4932.YJL041W	9606.ENSP00000471191	117.1
4932.YLR195C	9606.ENSP00000468424	340.5
4932.YDR194C	9606.ENSP00000263239	209.9
4932.YPR052C	9606.ENSP00000296503	75.5
4932.YDL083C	9606.ENSP00000367806	108.6
4932.YGL073W	9606.ENSP00000431512	132.9
4932.YPR102C	9606.ENSP00000496250	261.2
4932.YKR086W	9606.ENSP00000268482	773.5
4932.YJL208C	9606.ENSP00000361725	186.4
4932.YIR008C	9606.ENSP00000350491	246.1
4932.YDR054C	9606.ENSP00000263228	151.0
4932.YFL022C	9606.ENSP00000320309	471.9
4932.YCR053W	9606.ENSP00000327323	308.5
4932.YDL102W	9606.ENSP00000472445	1022.3
4932.YPL237W	9606.ENSP00000364119	198.0
4932.YGL030W	9606.ENSP00000428085	132.5
4932.YLL024C	9606.ENSP00000437125	1008.4
4932.YBR038W	9606.ENSP00000304440	51.2
4932.YPR181C	9606.ENSP00000306881	766.9
4932.YOR346W	9606.ENSP00000258428	199.5
4932.YGR193C	9606.ENSP00000227868	85.9
4932.YDL192W	9606.ENSP00000440005	300.1
4932.YDR256C	9606.ENSP00000241052	462.2
4932.YBR082C	9606.ENSP00000222402	257.7
4932.YAL041W	9606.ENSP00000398560	94.7
4932.YMR235C	9606.ENSP00000401470	154.5
4932.YIR022W	9606.ENSP00000468633	145.6
4932.YBL087C	9606.ENSP00000420311	225.3
4932.YDR523C	9606.ENSP00000325748	268.9
4932.YHL034C	9606.ENSP00000318195	80.1
4932.YIL015W	9606.ENSP00000362116	110.9
4932.YJL138C	9606.ENSP00000293831	537.3
4932.YKL126W	9606.ENSP00000340608	340.5
4932.YNL071W	9606.ENSP00000280346	375.6
4932.YGR118W	9606.ENSP00000296674	231.5
4932.YOR027W	9606.ENSP00000351646	380.9
4932.YKR057W	9606.ENSP00000345957	101.7
4932.YHR023W	9606.ENSP00000353590	766.1
4932.YEL060C	9606.ENSP00000303208	160.2
4932.YGL203C	9606.ENSP00000361562	139.8
4932.YER148W	9606.ENSP00000230354	315.8
4932.YMR186W	9606.ENSP00000360609	890.2
4932.YCR088W	9606.ENSP00000417653	65.5
4932.YHR024C	9606.ENSP00000360782	288.1
4932.YGL167C	9606.ENSP00000421326	867.1
4932.YJL167W	9606.ENSP00000349078	308.1
4932.YNL102W	9606.ENSP00000368358	686.4
4932.YML075C	9606.ENSP00000287936	523.5
4932.YBR195C	9606.ENSP00000362592	181.8
4932.YDR418W	9606.ENSP00000354739	249.2
4932.YDR481C	9606.ENSP00000295453	144.4
4932.YEL034W	9606.ENSP00000336702	217.6
4932.YBL041W	9606.ENSP00000262193	209.1
4932.YJR007W	9606.ENSP00000256383	316.2
4932.YPR074C	9606.ENSP00000391481	172.6
4932.YKL197C	9606.ENSP00000248633	357.5
4932.YNL130C	9606.ENSP00000260585	125.2
4932.YPL008W	9606.ENSP00000440402	379.0
4932.YPL094C	9606.ENSP00000337688	95.5
4932.YOR140W	9606.ENSP00000357440	76.3
4932.YGR116W	9606.ENSP00000319104	406.8
4932.YER168C	9606.ENSP00000251607	70.9
4932.YGL156W	9606.ENSP00000457788	593.2
4932.YCL040W	9606.ENSP00000346643	248.8
4932.YPR010C	9606.ENSP00000444136	953.0
4932.YGL011C	9606.ENSP00000261479	273.9
4932.YGR184C	9606.ENSP00000361990	174.9
4932.YGR209C	9606.ENSP00000363641	105.5
4932.YLR133W	9606.ENSP00000384400	119.4
4932.YDL134C	9606.ENSP00000221138	505.8
4932.YPR176C	9606.ENSP00000317473	348.2
4932.YLR396C	9606.ENSP00000267199	144.8
4932.YPL153C	9606.ENSP00000009105	219.5
4932.YDL047W	9606.ENSP00000279387	407.5
4932.YMR205C	9606.ENSP00000370517	634.4
4932.YBR080C	9606.ENSP00000381293	652.9
4932.YBL030C	9606.ENSP00000370808	298.5
4932.YGL055W	9606.ENSP00000359380	198.7
4932.YOR290C	9606.ENSP00000343896	821.2
4932.YOL126C	9606.ENSP00000327070	221.9
4932.YBR237W	9606.ENSP00000416534	394.4
4932.YHL033C	9606.ENSP00000361076	293.1
4932.YNL262W	9606.ENSP00000322570	1649.8
4932.YBL016W	9606.ENSP00000215832	354.8
4932.YGR233C	9606.ENSP00000265709	84.3
4932.YCR084C	9606.ENSP00000351446	129.4
4932.YPR178W	9606.ENSP00000363313	259.2
4932.YKR001C	9606.ENSP00000449089	556.2
4932.YBR135W	9606.ENSP00000364976	88.6
4932.YDR513W	9606.ENSP00000356410	71.6
4932.YPR088C	9606.ENSP00000451818	467.2
4932.YIL066C	9606.ENSP00000300738	1122.1
4932.YBR083W	9606.ENSP00000435233	64.7
4932.YDL066W	9606.ENSP00000390265	552.4
4932.YDL090C	9606.ENSP00000246166	255.4
4932.YGL173C	9606.ENSP00000264951	720.7
4932.YLR027C	9606.ENSP00000359539	369.8
4932.YLR134W	9606.ENSP00000323811	96.7
4932.YPR161C	9606.ENSP00000464036	237.7
4932.YLR131C	9606.ENSP00000250916	78.2
4932.YCR042C	9606.ENSP00000367406	161.4
4932.YPL218W	9606.ENSP00000385432	229.2
4932.YJR017C	9606.ENSP00000247970	140.6
4932.YNL154C	9606.ENSP00000255641	353.6
4932.YDR293C	9606.ENSP00000315569	238.4
4932.YFR015C	9606.ENSP00000317904	751.1
4932.YOR212W	9606.ENSP00000261837	253.4
4932.YKR039W	9606.ENSP00000372390	58.5
4932.YIL125W	9606.ENSP00000388183	860.5
4932.YMR203W	9606.ENSP00000356967	82.8
4932.YOL058W	9606.ENSP00000361471	434.1
4932.YHR135C	9606.ENSP00000255641	348.6
4932.YPL215W	9606.ENSP00000363506	76.3
4932.YGL155W	9606.ENSP00000404676	103.2
4932.YER070W	9606.ENSP00000300738	1116.3
4932.YJR049C	9606.ENSP00000367890	231.1
4932.YHR057C	9606.ENSP00000300026	195.3
4932.YDR243C	9606.ENSP00000310723	364.0
4932.YEL032W	9606.ENSP00000480987	634.4
4932.YOR046C	9606.ENSP00000306117	444.9
4932.YPR189W	9606.ENSP00000497948	114.8
4932.YKL021C	9606.ENSP00000368887	130.6
4932.YPL036W	9606.ENSP00000445306	231.9
4932.YNL138W	9606.ENSP00000361883	281.6
4932.YLR105C	9606.ENSP00000284995	78.2
4932.YGR240C	9606.ENSP00000370517	615.9
4932.YNL183C	9606.ENSP00000385751	115.2
4932.YCL043C	9606.ENSP00000499129	205.3
4932.YPR187W	9606.ENSP00000385725	86.7
4932.YBR085W	9606.ENSP00000370808	305.8
4932.YGL078C	9606.ENSP00000380033	322.4
4932.YOR210W	9606.ENSP00000324124	106.3
4932.YJR047C	9606.ENSP00000295822	214.5
4932.YHR166C	9606.ENSP00000378350	250.8
4932.YDR189W	9606.ENSP00000390783	364.4
4932.YLL041C	9606.ENSP00000364649	380.9
4932.YHR128W	9606.ENSP00000346155	195.7
4932.YGR092W	9606.ENSP00000373684	253.8
4932.YGR019W	9606.ENSP00000379845	389.4
4932.YML092C	9606.ENSP00000223321	260.4
4932.YNL272C	9606.ENSP00000447300	52.4
4932.YJL140W	9606.ENSP00000272645	68.6
4932.YER012W	9606.ENSP00000362334	186.8
4932.YOL004W	9606.ENSP00000378402	467.2
4932.YDL188C	9606.ENSP00000221138	506.5
4932.YHR042W	9606.ENSP00000419970	340.1
4932.YLR433C	9606.ENSP00000380878	534.3
4932.YJL034W	9606.ENSP00000324173	860.1
4932.YGL097W	9606.ENSP00000497402	153.3
4932.YOR176W	9606.ENSP00000498358	360.9
4932.YLR304C	9606.ENSP00000216254	1072.0
4932.YDR148C	9606.ENSP00000335304	351.3
4932.YBR154C	9606.ENSP00000478303	185.7
4932.YOR061W	9606.ENSP00000217244	409.5
4932.YBR289W	9606.ENSP00000340883	123.6
4932.YOL016C	9606.ENSP00000478874	233.8
4932.YOL051W	9606.ENSP00000485659	50.1
4932.YLR043C	9606.ENSP00000363641	97.1
4932.YLR071C	9606.ENSP00000323720	60.8
4932.YNR011C	9606.ENSP00000365625	644.8
4932.YOR207C	9606.ENSP00000228347	1433.3
4932.YDL185W	9606.ENSP00000273398	653.3
4932.YHR123W	9606.ENSP00000260585	138.3
4932.YMR011W	9606.ENSP00000362469	161.8
4932.YBR097W	9606.ENSP00000349205	443.0
4932.YAR007C	9606.ENSP00000254719	340.1
4932.YKL045W	9606.ENSP00000484105	284.3
4932.YOR326W	9606.ENSP00000285039	861.7
4932.YLL021W	9606.ENSP00000378338	51.6
4932.YLR249W	9606.ENSP00000222388	198.0
4932.YOR362C	9606.ENSP00000216455	263.1
4932.YJR050W	9606.ENSP00000411822	73.2
4932.YDR502C	9606.ENSP00000361287	563.9
4932.YLL043W	9606.ENSP00000219919	124.8
4932.YJL085W	9606.ENSP00000334100	51.6
4932.YDR177W	9606.ENSP00000261427	163.7
4932.YJR051W	9606.ENSP00000264932	95.9
4932.YJL033W	9606.ENSP00000314348	510.4
4932.YPL172C	9606.ENSP00000261643	206.5
4932.YAR018C	9606.ENSP00000355966	221.5
4932.YNL307C	9606.ENSP00000222330	271.6
4932.YPL031C	9606.ENSP00000266970	342.4
4932.YLR362W	9606.ENSP00000354927	232.6
4932.YHR026W	9606.ENSP00000434729	188.7
4932.YPR141C	9606.ENSP00000393963	312.0
4932.YNL240C	9606.ENSP00000251588	201.4
4932.YLR229C	9606.ENSP00000497733	325.5
4932.YOR224C	9606.ENSP00000415536	62.4
4932.YLR268W	9606.ENSP00000463393	159.5
4932.YKL210W	9606.ENSP00000338413	1094.7
4932.YGL206C	9606.ENSP00000479606	1677.5
4932.YLR259C	9606.ENSP00000340019	607.1
4932.YDL137W	9606.ENSP00000440005	301.2
4932.YNL135C	9606.ENSP00000383003	135.2
4932.YBR110W	9606.ENSP00000262374	259.6
4932.YLR240W	9606.ENSP00000262039	535.8
4932.YKL085W	9606.ENSP00000327070	322.8
4932.YMR104C	9606.ENSP00000340608	331.3
4932.YIL072W	9606.ENSP00000385055	74.3
4932.YDL030W	9606.ENSP00000362110	145.2
4932.YMR243C	9606.ENSP00000355968	252.3
4932.YGL233W	9606.ENSP00000489442	103.6
4932.YHL022C	9606.ENSP00000360310	65.9
4932.YOR332W	9606.ENSP00000253413	131.3
4932.YGR135W	9606.ENSP00000044462	275.4
4932.YKL008C	9606.ENSP00000325485	68.2
4932.YCR079W	9606.ENSP00000477341	67.4
4932.YBL039C	9606.ENSP00000497744	684.1
4932.YCR009C	9606.ENSP00000276416	89.4
4932.YCR091W	9606.ENSP00000422435	243.0
4932.YDL150W	9606.ENSP00000380904	54.7
4932.YCR072C	9606.ENSP00000413572	466.1
4932.YOR096W	9606.ENSP00000495273	204.5
4932.YGR218W	9606.ENSP00000384863	1031.6
4932.YKL019W	9606.ENSP00000303423	136.3
4932.YAL058W	9606.ENSP00000247461	202.6
4932.YMR080C	9606.ENSP00000470142	965.7
4932.YGL070C	9606.ENSP00000221859	109.4
4932.YCR059C	9606.ENSP00000284202	120.2
4932.YDL122W	9606.ENSP00000257548	60.8
4932.YBR023C	9606.ENSP00000306991	68.2
4932.YOL096C	9606.ENSP00000254759	114.0
4932.YNL007C	9606.ENSP00000254322	212.6
4932.YCL059C	9606.ENSP00000229214	372.5
4932.YCR026C	9606.ENSP00000406261	146.4
4932.YOR157C	9606.ENSP00000259457	289.3
4932.YGL012W	9606.ENSP00000339883	208.8
4932.YLR274W	9606.ENSP00000216122	679.1
4932.YDL200C	9606.ENSP00000302111	60.1
4932.YMR296C	9606.ENSP00000262554	275.8
4932.YDR004W	9606.ENSP00000419881	93.6
4932.YNL037C	9606.ENSP00000217901	347.1
4932.YCR047C	9606.ENSP00000401191	251.5
4932.YPR103W	9606.ENSP00000355325	284.3
4932.YCL035C	9606.ENSP00000430031	71.6
4932.YKL190W	9606.ENSP00000234310	192.6
4932.YMR214W	9606.ENSP00000314030	204.9
4932.YIL160C	9606.ENSP00000333664	377.1
4932.YHR120W	9606.ENSP00000265081	246.1
4932.YCL055W	9606.ENSP00000373474	115.9
4932.YCR077C	9606.ENSP00000311684	53.5
4932.YCR057C	9606.ENSP00000291576	768.1
4932.YKR002W	9606.ENSP00000216277	404.8
4932.YPL048W	9606.ENSP00000331901	216.5
4932.YCR034W	9606.ENSP00000359956	87.4
4932.YJL172W	9606.ENSP00000356104	197.2
4932.YML123C	9606.ENSP00000479104	67.4
4932.YPL131W	9606.ENSP00000359345	305.8
4932.YOR208W	9606.ENSP00000254667	101.3
4932.YDR329C	9606.ENSP00000356563	50.4
4932.YAR019C	9606.ENSP00000361892	202.2
4932.YPR175W	9606.ENSP00000216367	178.3
4932.YJR090C	9606.ENSP00000264658	112.5
4932.YIL133C	9606.ENSP00000375730	230.3
4932.YNL312W	9606.ENSP00000363017	82.0
4932.YER095W	9606.ENSP00000493712	415.2
4932.YFR014C	9606.ENSP00000478874	238.8
4932.YCR002C	9606.ENSP00000391249	292.4
4932.YCR017C	9606.ENSP00000226432	267.3
4932.YGR029W	9606.ENSP00000248114	124.0
4932.YLL045C	9606.ENSP00000361076	296.2
4932.YCL054W	9606.ENSP00000396673	489.6
4932.YCR093W	9606.ENSP00000320949	533.9
4932.YDR164C	9606.ENSP00000413606	203.4
4932.YGL123W	9606.ENSP00000341885	297.0
4932.YML078W	9606.ENSP00000225174	215.7
4932.YOR351C	9606.ENSP00000405950	156.0
4932.YCL031C	9606.ENSP00000321449	57.4
4932.YKL113C	9606.ENSP00000305480	434.9
4932.YCL008C	9606.ENSP00000251968	104.4
4932.YOR026W	9606.ENSP00000357858	129.8
4932.YBL023C	9606.ENSP00000265056	785.4
4932.YPR065W	9606.ENSP00000347646	68.2
4932.YGR028W	9606.ENSP00000339017	293.9
