Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
O13563	reviewed	RPN13_YEAST	26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13)	RPN13 DAQ1 YLR421C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	156	nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; ubiquitin binding [GO:0043130]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000502; GO:0005634; GO:0006511; GO:0008541; GO:0034515; GO:0043130; GO:0043161
O14467	reviewed	MBF1_YEAST	Multiprotein-bridging factor 1 (Suppressor of frameshift mutations protein 13)	MBF1 SUF13 YOR298C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	151	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; DNA binding [GO:0003677]; ribosome binding [GO:0043022]; GCN2-mediated signaling [GO:0140469]; maintenance of translational fidelity [GO:1990145]; rescue of stalled ribosome [GO:0072344]	GO:0003677; GO:0005634; GO:0005737; GO:0005739; GO:0043022; GO:0072344; GO:0140469; GO:1990145
O60200	reviewed	MDM35_YEAST	Mitochondrial distribution and morphology protein 35	MDM35 YKL053C-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	86	cytoplasm [GO:0005737]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; intermembrane lipid transfer [GO:0120009]; mitochondrial respiratory chain complex assembly [GO:0033108]; mitochondrion organization [GO:0007005]; phospholipid translocation [GO:0045332]; phospholipid transport [GO:0015914]	GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0007005; GO:0015914; GO:0033108; GO:0045332; GO:0120009
O74700	reviewed	TIM9_YEAST	Mitochondrial import inner membrane translocase subunit TIM9	TIM9 YEL020W-A YEL020BW	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	87	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial intermembrane space protein transporter complex [GO:0042719]; mitochondrion [GO:0005739]; TIM22 mitochondrial import inner membrane insertion complex [GO:0042721]; metal ion binding [GO:0046872]; protein transporter activity [GO:0140318]; unfolded protein binding [GO:0051082]; protein insertion into mitochondrial inner membrane [GO:0045039]	GO:0005739; GO:0005743; GO:0005758; GO:0042719; GO:0042721; GO:0045039; GO:0046872; GO:0051082; GO:0140318
O94742	reviewed	SEM1_YEAST	26S proteasome complex subunit SEM1	SEM1 DSH1 YDR363W-A	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	89	cytosol [GO:0005829]; proteasome complex [GO:0000502]; proteasome regulatory particle, lid subcomplex [GO:0008541]; proteasome storage granule [GO:0034515]; transcription export complex 2 [GO:0070390]; molecular adaptor activity [GO:0060090]; protein folding chaperone [GO:0044183]; double-strand break repair via homologous recombination [GO:0000724]; filamentous growth [GO:0030447]; maintenance of DNA trinucleotide repeats [GO:0035753]; mRNA export from nucleus [GO:0006406]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of cell cycle [GO:0051726]; SAGA complex localization to transcription regulatory region [GO:0072742]; ubiquitin-dependent protein catabolic process [GO:0006511]	GO:0000502; GO:0000724; GO:0005829; GO:0006406; GO:0006511; GO:0008541; GO:0030447; GO:0034515; GO:0035753; GO:0043161; GO:0043248; GO:0044183; GO:0045944; GO:0051726; GO:0060090; GO:0070390; GO:0072742
P00044	reviewed	CYC1_YEAST	Cytochrome c isoform 1 (Iso-1-cytochrome c) (Cytochrome c aerobic isoform)	CYC1 YJR048W J1653	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	109	mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; cardiolipin binding [GO:1901612]; electron transfer activity [GO:0009055]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005739; GO:0005758; GO:0006122; GO:0006123; GO:0009055; GO:0020037; GO:0046872; GO:1901612
P00127	reviewed	QCR6_YEAST	Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VI) (Cytochrome c1 non-heme 17 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c oxidoreductase subunit 6) (Ubiquinol-cytochrome c reductase 17 kDa protein)	QCR6 UCR6 YFR033C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	147	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; respiratory chain complex III [GO:0045275]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; proton transmembrane transport [GO:1902600]	GO:0005739; GO:0005743; GO:0005758; GO:0006122; GO:0009060; GO:0034399; GO:0045275; GO:0045333; GO:1902600
P00128	reviewed	QCR7_YEAST	Cytochrome b-c1 complex subunit 7, mitochondrial (Complex III subunit 7) (Complex III subunit VII) (Ubiquinol-cytochrome c oxidoreductase subunit 7) (Ubiquinol-cytochrome c reductase 14 kDa protein)	QCR7 CRO1 UCR7 YDR529C D9719.32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	127	matrix side of mitochondrial inner membrane [GO:0099617]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]; mitochondrial respiratory chain complex III assembly [GO:0034551]; proton transmembrane transport [GO:1902600]	GO:0005739; GO:0005743; GO:0006122; GO:0009060; GO:0034551; GO:0045275; GO:0045333; GO:0099617; GO:1902600
P00163	reviewed	CYB_YEAST	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	385	membrane [GO:0016020]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, ubiquinol to cytochrome c [GO:0006122]	GO:0005739; GO:0005743; GO:0006122; GO:0008121; GO:0009060; GO:0016020; GO:0045275; GO:0045333; GO:0046872
P00175	reviewed	CYB2_YEAST	L-lactate dehydrogenase (cytochrome) (EC 1.1.2.3) (Cytochrome b2) (Flavocytochrome b2) (FCB2) (L-lactate ferricytochrome c oxidoreductase) (L-LCR)	CYB2 YML054C YM9958.08C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	591	cytosol [GO:0005829]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; heme binding [GO:0020037]; L-lactate dehydrogenase (cytochrome) activity [GO:0004460]; metal ion binding [GO:0046872]; lactate metabolic process [GO:0006089]	GO:0004460; GO:0005634; GO:0005739; GO:0005743; GO:0005758; GO:0005829; GO:0006089; GO:0020037; GO:0046872
P00330	reviewed	ADH1_YEAST	Alcohol dehydrogenase 1 (EC 1.1.1.1) (EC 1.1.1.54) (EC 1.1.1.78) (Alcohol dehydrogenase I) (ADHI) (NADH-dependent methylglyoxal reductase) (YADH-1)	ADH1 ADC1 YOL086C O0947	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; allyl-alcohol dehydrogenase activity [GO:0047655]; butanol dehydrogenase (NAD+) activity [GO:1990362]; identical protein binding [GO:0042802]; melatonin binding [GO:1904408]; methylglyoxal reductase (NADH) activity [GO:0019170]; octanol dehydrogenase (NAD+) activity [GO:0004552]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; glycolytic fermentation to ethanol [GO:0019655]; NADH oxidation [GO:0006116]	GO:0000947; GO:0004022; GO:0004552; GO:0005737; GO:0005886; GO:0006116; GO:0008270; GO:0019170; GO:0019655; GO:0042802; GO:0047655; GO:1904408; GO:1990362
P00331	reviewed	ADH2_YEAST	Alcohol dehydrogenase 2 (EC 1.1.1.1) (Alcohol dehydrogenase II) (ADHII) (YADH-2)	ADH2 ADR2 YMR303C YM9952.05C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	348	cytoplasm [GO:0005737]; alcohol dehydrogenase (NAD+) activity [GO:0004022]; butanol dehydrogenase (NAD+) activity [GO:1990362]; zinc ion binding [GO:0008270]; amino acid catabolic process to alcohol via Ehrlich pathway [GO:0000947]; ethanol metabolic process [GO:0006067]; NADH oxidation [GO:0006116]	GO:0000947; GO:0004022; GO:0005737; GO:0006067; GO:0006116; GO:0008270; GO:1990362
P00358	reviewed	G3P2_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 2 (GAPDH 2) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH2 GPD2 YJR009C J1433	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; promoter-specific chromatin binding [GO:1990841]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; reactive oxygen species metabolic process [GO:0072593]	GO:0004365; GO:0005634; GO:0005737; GO:0005739; GO:0005811; GO:0005829; GO:0005886; GO:0006094; GO:0006096; GO:0006915; GO:0009277; GO:0050661; GO:0051287; GO:0072593; GO:1904408; GO:1990841
P00359	reviewed	G3P3_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 3 (GAPDH 3) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH3 GPD3 YGR192C G7576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytoplasm [GO:0005737]; cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; heme binding [GO:0020037]; melatonin binding [GO:1904408]; mRNA binding [GO:0003729]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; RNA binding [GO:0003723]; apoptotic process [GO:0006915]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; heme transport [GO:0015886]; reactive oxygen species metabolic process [GO:0072593]	GO:0003723; GO:0003729; GO:0004365; GO:0005634; GO:0005737; GO:0005739; GO:0005811; GO:0005829; GO:0005886; GO:0006094; GO:0006096; GO:0006915; GO:0009277; GO:0015886; GO:0020037; GO:0050661; GO:0051287; GO:0072593; GO:1904408
P00360	reviewed	G3P1_YEAST	Glyceraldehyde-3-phosphate dehydrogenase 1 (GAPDH 1) (EC 1.2.1.12) (Triose-phosphate dehydrogenase 1)	TDH1 GPD1 SSS2 YJL052W J1154	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	332	cytosol [GO:0005829]; fungal-type cell wall [GO:0009277]; lipid droplet [GO:0005811]; mitochondrion [GO:0005739]; plasma membrane [GO:0005886]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; melatonin binding [GO:1904408]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]	GO:0004365; GO:0005739; GO:0005811; GO:0005829; GO:0005886; GO:0006094; GO:0006096; GO:0009277; GO:0050661; GO:0051287; GO:1904408
P00401	reviewed	COX1_YEAST	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 OXI3 Q0045	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	534	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; respiratory electron transport chain [GO:0022904]	GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0020037; GO:0022904; GO:0031966; GO:0045277; GO:0045333; GO:0046872
P00410	reviewed	COX2_YEAST	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	251	mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; aerobic respiration [GO:0009060]; ATP synthesis coupled electron transport [GO:0042773]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	GO:0004129; GO:0005507; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0042773; GO:0045277
P00420	reviewed	COX3_YEAST	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	COX3 OXI2 Q0275	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	269	mitochondrial inner membrane [GO:0005743]; mitochondrial membrane [GO:0031966]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; ubiquinone binding [GO:0048039]; aerobic respiration [GO:0009060]; cellular respiration [GO:0045333]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0031966; GO:0045277; GO:0045333; GO:0048039
P00424	reviewed	COX5A_YEAST	Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)	COX5A YNL052W N2474 YNL2474W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	153	mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; respiratory chain complex IV [GO:0045277]; oxidoreductase activity [GO:0016491]; mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]; proton transmembrane transport [GO:1902600]	GO:0005739; GO:0005743; GO:0005758; GO:0006123; GO:0016491; GO:0045277; GO:1902600
P00431	reviewed	CCPR_YEAST	Cytochrome c peroxidase, mitochondrial (CCP) (EC 1.11.1.5)	CCP1 CCP CPO YKR066C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	361	mitochondrial intermembrane space [GO:0005758]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; peroxidase activity [GO:0004601]; cellular response to oxidative stress [GO:0034599]; hydrogen peroxide catabolic process [GO:0042744]; response to reactive oxygen species [GO:0000302]	GO:0000302; GO:0004130; GO:0004601; GO:0005739; GO:0005758; GO:0005759; GO:0020037; GO:0034599; GO:0042744; GO:0046872
P00445	reviewed	SODC_YEAST	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	SOD1 YJR104C J1968	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	154	cytosol [GO:0005829]; mitochondrial intermembrane space [GO:0005758]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; superoxide dismutase complex [GO:1902693]; copper ion binding [GO:0005507]; oxidoreductase activity, acting on a sulfur group of donors, oxygen as acceptor [GO:0016670]; superoxide dismutase activity [GO:0004784]; cellular detoxification [GO:1990748]; cellular response to oxidative stress [GO:0034599]; copper ion transport [GO:0006825]; fungal-type cell wall organization [GO:0031505]; intracellular copper ion homeostasis [GO:0006878]; intracellular zinc ion homeostasis [GO:0006882]; negative regulation of cellular respiration [GO:1901856]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein stabilization [GO:0050821]; removal of superoxide radicals [GO:0019430]; superoxide metabolic process [GO:0006801]	GO:0004784; GO:0005507; GO:0005634; GO:0005739; GO:0005758; GO:0005829; GO:0006801; GO:0006825; GO:0006878; GO:0006882; GO:0016670; GO:0019430; GO:0031505; GO:0034599; GO:0045944; GO:0050821; GO:1901856; GO:1902693; GO:1990748
