From	To
P06168	4932.YLR355C
P06169	4932.YLR044C
P06197	4932.YPR113W
P06208	4932.YNL104C
P06242	4932.YDL108W
P06243	4932.YDL017W
P06244	4932.YJL164C
P06245	4932.YPL203W
P06367	4932.YCR031C
P06634	4932.YOR204W
P06700	4932.YDL042C
P06701	4932.YLR442C
P06704	4932.YOR257W
P06738	4932.YPR160W
P06774	4932.YGL237C
P06777	4932.YPL022W
P06778	4932.YML032C
P06779	4932.YJR052W
P06780	4932.YPR165W
P06781	4932.YNL090W
P06782	4932.YDR477W
P06784	4932.YDL159W
P06785	4932.YOR074C
P06786	4932.YNL088W
P06787	4932.YBR109C
P06838	4932.YML095C
P06839	4932.YER171W
P06843	4932.YER161C
P06844	4932.YDR392W
P07143	4932.YOR065W
P07149	4932.YKL182W
P07170	4932.YDR226W
P07213	4932.YNL121C
P07244	4932.YGL234W
P07245	4932.YGR204W
P07246	4932.YMR083W
P07248	4932.YDR216W
P07249	4932.YMR042W
P07250	4932.YDR173C
P07251	4932.YBL099W
P07255	4932.YDL067C
P07256	4932.YBL045C
P07257	4932.YPR191W
P07258	4932.YOR303W
P07259	4932.YJL130C
P07260	4932.YOL139C
P07261	4932.YPL075W
P07263	4932.YPR033C
P07264	4932.YGL009C
P07267	4932.YPL154C
P07269	4932.YDL106C
P07270	4932.YFR034C
P07271	4932.YML061C
P07272	4932.YLR014C
P07273	4932.YGL043W
P07274	4932.YOR122C
P07276	4932.YGR258C
P07277	4932.YMR208W
P07278	4932.YIL033C
P07280	4932.YOL121C
P07281	4932.YNL302C
P07283	4932.YFL045C
P07284	4932.YDR023W
P07286	4932.YBR243C
P07342	4932.YMR108W
P07347	4932.YHR013C
P07560	4932.YFL005W
P07702	4932.YBR115C
P07703	4932.YPR110C
P07834	4932.YFL009W
P07866	4932.YAL024C
P07884	4932.YOR274W
P07991	4932.YLR438W
P08004	4932.YNL192W
P08018	4932.YJL128C
P08067	4932.YEL024W
P08153	4932.YDR146C
P08417	4932.YPL262W
P08425	4932.YPR047W
P08432	4932.YKL184W
P08456	4932.YER026C
P08458	4932.YDR523C
P08466	4932.YJL208C
P08518	4932.YOR151C
P08524	4932.YJL167W
P08525	4932.YJL166W
P08536	4932.YJR010W
P08539	4932.YHR005C
P08566	4932.YDR127W
P08638	4932.YLR451W
P08640	4932.YIR019C
P08678	4932.YJL005W
P08679	4932.YCR005C
P08964	4932.YHR023W
P09032	4932.YOR260W
P09064	4932.YPL237W
P09119	4932.YJL194W
P09201	4932.YLR377C
P09232	4932.YEL060C
P09440	4932.YBR084W
P09547	4932.YPL016W
P09620	4932.YGL203C
P09624	4932.YFL018C
P09733	4932.YML085C
P09734	4932.YML124C
P09798	4932.YKL022C
P09880	4932.YJL087C
P09938	4932.YJL026W
P09950	4932.YDR232W
P09959	4932.YLR182W
P0C0T4	4932.YLR333C
P0C0V8	4932.YKR057W
P0C0W9	4932.YPR102C
P0C0X0	4932.YLR264W
P0C5R9	4932.YPR170W-B
P0CD91	4932.YPR192W
P0CE41	4932.YLR256W
P0CG63	4932.YLL039C
P0CH08	4932.YIL148W
P0CS90	4932.YJR045C
P0CT04	4932.YNL015W
P0CX27	4932.YHR141C
P0CX29	4932.YGR118W
P0CX31	4932.YER074W
P0CX35	4932.YHR203C
P0CX37	4932.YBR181C
P0CX41	4932.YBL087C
P0CX43	4932.YGL135W
P0CX45	4932.YFR031C-A
P0CX47	4932.YBR048W
P0CX49	4932.YNL301C
P0CX51	4932.YDL083C
P0CX53	4932.YDR418W
P0CX55	4932.YDR450W
P0CX80	4932.YHR053C
P0CX82	4932.YBL027W
P0CX84	4932.YDL136W
P0CZ17	4932.YLR155C
P10080	4932.YHL034C
P10081	4932.YJL138C
P10127	4932.YGL256W
P10174	4932.YMR256C
P10363	4932.YIR008C
P10507	4932.YLR163C
P10591	4932.YAL005C
P10592	4932.YLL024C
P10614	4932.YHR007C
P10622	4932.YDL130W
P10659	4932.YLR180W
P10664	4932.YBR031W
P10823	4932.YER020W
P10862	4932.YCR066W
P10863	4932.YER011W
P10869	4932.YER052C
P10870	4932.YDL194W
P10961	4932.YGL073W
P10962	4932.YAL025C
P10964	4932.YOR341W
P11075	4932.YDR170C
P11076	4932.YDL192W
P11154	4932.YGL062W
P11325	4932.YLR382C
P11353	4932.YDR044W
P11412	4932.YNL241C
P11433	4932.YAL041W
P11484	4932.YDL229W
P11491	4932.YDR481C
P11632	4932.YPR052C
P11633	4932.YBR089C-A
P11655	4932.YNR026C
P11709	4932.YCL029C
P11710	4932.YCL027W
P11745	4932.YMR235C
P11746	4932.YMR043W
P11747	4932.YML098W
P11792	4932.YHR205W
P11914	4932.YHR024C
P11938	4932.YNL216W
P11972	4932.YLR452C
P11978	4932.YDR227W
P11986	4932.YJL153C
P12383	4932.YGL013C
P12385	4932.YBR143C
P12611	4932.YOR043W
P12630	4932.YIL015W
P12683	4932.YML075C
P12684	4932.YLR450W
P12688	4932.YKL126W
P12689	4932.YOR346W
P12695	4932.YNL071W
P12709	4932.YBR196C
P12753	4932.YNL250W
P12754	4932.YGR083C
P12866	4932.YKL209C
P12868	4932.YMR231W
P12904	4932.YGL115W
P12945	4932.YDL040C
P12954	4932.YJL092W
P12962	4932.YOR276W
P13099	4932.YLR234W
P13134	4932.YNL238W
P13185	4932.YDR122W
P13186	4932.YLR096W
P13259	4932.YGR202C
P13365	4932.YAL040C
P13382	4932.YNL102W
P13393	4932.YER148W
P13433	4932.YFL036W
P13434	4932.YBL021C
P13517	4932.YIL034C
P13574	4932.YHR084W
P13586	4932.YGL167C
P13587	4932.YDR040C
P13663	4932.YDR158W
P13712	4932.YBR195C
P13856	4932.YGR152C
P14020	4932.YPR183W
P14064	4932.YKL109W
P14065	4932.YOR120W
P14120	4932.YGL030W
P14126	4932.YOR063W
P14164	4932.YKL112W
P14180	4932.YBR038W
P14242	4932.YNL082W
P14284	4932.YPL167C
P14291	4932.YLR263W
P14306	4932.YLR178C
P14540	4932.YKL060C
P14680	4932.YJL141C
P14681	4932.YGR040W
P14682	4932.YDR054C
P14693	4932.YHR083W
P14724	4932.YFR036W
P14736	4932.YER162C
P14737	4932.YDR217C
P14741	4932.YKR026C
P14742	4932.YKL104C
P14743	4932.YLR195C
P14747	4932.YML057W
P14772	4932.YLL015W
P14832	4932.YDR155C
P14904	4932.YKL103C
P14906	4932.YOR254C
P14907	4932.YJL041W
P14908	4932.YMR228W
P14922	4932.YBR112C
P15019	4932.YLR354C
P15108	4932.YMR186W
P15180	4932.YDR037W
P15202	4932.YDR256C
P15274	4932.YML035C
P15303	4932.YPR181C
P15315	4932.YGL166W
P15367	4932.YIR022W
P15424	4932.YDR194C
P15436	4932.YDL102W
P15442	4932.YDR283C
P15454	4932.YDR454C
P15496	4932.YPL117C
P15565	4932.YDR120C
P15624	4932.YLR060W
P15625	4932.YFL022C
P15646	4932.YDL014W
P15700	4932.YKL024C
P15703	4932.YGR282C
P15705	4932.YOR027W
P15731	4932.YBR082C
P15732	4932.YDR059C
P15790	4932.YIL035C
P15801	4932.YOR330C
P15807	4932.YBR213W
P15873	4932.YBR088C
P15891	4932.YCR088W
P15938	4932.YKR086W
P15992	4932.YBR072W
P16120	4932.YCR053W
P16140	4932.YBR127C
P16370	4932.YIL021W
P16387	4932.YER178W
P16451	4932.YGR193C
P16467	4932.YLR134W
P16474	4932.YJL034W
P16521	4932.YLR249W
P16522	4932.YHR166C
P16550	4932.YCL050C
P16603	4932.YHR042W
P16622	4932.YOR176W
P16649	4932.YCR084C
P16658	4932.YLR105C
P16661	4932.YBR110W
P16664	4932.YDR137W
P16861	4932.YGR240C
P16862	4932.YMR205C
P16892	4932.YBL016W
P17064	4932.YER056C
P17065	4932.YNL272C
P17076	4932.YHL033C
P17106	4932.YJR060W
P17119	4932.YPR141C
P17157	4932.YPL031C
P17214	4932.YLR233C
P17255	4932.YDL185W
P17260	4932.YNL322C
P17423	4932.YHR025W
P17442	4932.YGR233C
P17505	4932.YKL085W
P17536	4932.YNL079C
P17555	4932.YNL138W
P17629	4932.YDR138W
P17649	4932.YGR019W
P17695	4932.YDR513W
P17709	4932.YCL040W
P17883	4932.YPR189W
P17890	4932.YNL151C
P17891	4932.YGR167W
P17898	4932.YNL130C
P17967	4932.YCL043C
P18238	4932.YBR085W
P18239	4932.YBL030C
P18409	4932.YAL010C
P18410	4932.YAL009W
P18412	4932.YBR083W
P18480	4932.YBR289W
P18562	4932.YHR128W
P18759	4932.YBR080C
P18851	4932.YOR212W
P18852	4932.YJR086W
P18888	4932.YHL025W
P18898	4932.YGL155W
P18899	4932.YMR173W
P18961	4932.YMR104C
P19073	4932.YLR229C
P19097	4932.YPL231W
P19145	4932.YKR039W
P19146	4932.YDL137W
P19211	4932.YJR047C
P19262	4932.YDR148C
P19263	4932.YLR071C
P19358	4932.YDR502C
P19414	4932.YLR304C
P19454	4932.YOR061W
P19524	4932.YOR326W
P19541	4932.YPL133C
P19657	4932.YPL036W
P19658	4932.YJL085W
P19659	4932.YOL051W
P19736	4932.YDL030W
P19807	4932.YGL077C
P19812	4932.YGR184C
P19880	4932.YML007W
P19882	4932.YLR259C
P19955	4932.YFR049W
P20050	4932.YIL072W
P20052	4932.YOL001W
P20053	4932.YPR178W
P20081	4932.YNL135C
P20095	4932.YNR011C
P20107	4932.YMR243C
P20133	4932.YPR176C
P20134	4932.YOR140W
P20424	4932.YPR088C
P20433	4932.YJL140W
P20434	4932.YBR154C
P20435	4932.YPR187W
P20436	4932.YOR224C
P20447	4932.YGL078C
P20448	4932.YJL033W
P20449	4932.YOR046C
P20457	4932.YKL045W
P20459	4932.YJR007W
P20484	4932.YKL021C
P20485	4932.YLR133W
P20486	4932.YBR135W
P20604	4932.YDL047W
P20606	4932.YPL218W
P20676	4932.YOR098C
P20795	4932.YLR396C
P20840	4932.YJR004C
P20967	4932.YIL125W
P21147	4932.YGL055W
P21182	4932.YOL052C
P21190	4932.YJR094C
P21192	4932.YLR131C
P21242	4932.YOR362C
P21243	4932.YGL011C
P21268	4932.YJL157C
P21269	4932.YER168C
P21306	4932.YPL271W
P21372	4932.YBR237W
P21373	4932.YJR049C
P21374	4932.YJR050W
P21375	4932.YJR051W
P21524	4932.YER070W
P21538	4932.YBR049C
P21560	4932.YPL215W
P21576	4932.YKR001C
P21592	4932.YPL172C
P21651	4932.YJR021C
P21672	4932.YIL066C
P21691	4932.YKR101W
P21734	4932.YDR177W
P21801	4932.YLL041C
P21825	4932.YPL094C
P21826	4932.YIR031C
P21827	4932.YGL097W
P21951	4932.YNL262W
P21954	4932.YDL066W
P21957	4932.YHL020C
P21965	4932.YNL307C
P22007	4932.YDL090C
P22082	4932.YOR290C
P22108	4932.YDR530C
P22133	4932.YOL126C
P22134	4932.YER142C
P22137	4932.YGL206C
P22138	4932.YPR010C
P22139	4932.YOR210W
P22140	4932.YHR123W
P22141	4932.YER012W
P22146	4932.YMR307W
P22147	4932.YGL173C
P22148	4932.YOL116W
P22149	4932.YGL071W
P22203	4932.YOR332W
P22204	4932.YGR092W
P22209	4932.YAR018C
P22211	4932.YNL183C
P22213	4932.YDR189W
P22214	4932.YLR268W
P22216	4932.YPL153C
P22217	4932.YLR043C
P22219	4932.YBR097W
P22224	4932.YGL233W
P22276	4932.YOR207C
P22289	4932.YGR183C
P22336	4932.YAR007C
P22515	4932.YKL210W
P22516	4932.YPL008W
P22517	4932.YOL016C
P22543	4932.YLR240W
P22579	4932.YOL004W
P22696	4932.YJR017C
P22768	4932.YOL058W
P22803	4932.YGR209C
P22804	4932.YIL004C
P22855	4932.YGL156W
P22936	4932.YKL114C
P22943	4932.YFL014W
P23179	4932.YHL022C
P23201	4932.YLL021W
P23202	4932.YNL229C
P23254	4932.YPR074C
P23255	4932.YCR042C
P23285	4932.YHR057C
P23287	4932.YLR433C
P23291	4932.YHR135C
P23292	4932.YNL154C
P23293	4932.YPR161C
P23301	4932.YEL034W
P23337	4932.YFR015C
P23394	4932.YDR243C
P23503	4932.YNL240C
P23542	4932.YLR027C
P23561	4932.YLR362W
P23585	4932.YMR011W
P23594	4932.YDL134C
P23595	4932.YDL188C
P23615	4932.YGR116W
P23638	4932.YGR135W
P23639	4932.YML092C
P23642	4932.YML115C
P23643	4932.YDR495C
P23644	4932.YMR203W
P23724	4932.YBL041W
P23776	4932.YLR300W
P23900	4932.YLL043W
P23968	4932.YHR026W
P24004	4932.YKL197C
P24276	4932.YDR293C
P24279	4932.YEL032W
P24280	4932.YMR079W
P24309	4932.YKL149C
P24384	4932.YER013W
P24482	4932.YPR175W
P24583	4932.YBL105C
P24719	4932.YOR351C
P24783	4932.YNL112W
P24784	4932.YPL119C
P24813	4932.YDR423C
P24814	4932.YJR090C
P24867	4932.YNL289W
P24868	4932.YGR108W
P24869	4932.YPR119W
P24870	4932.YDL155W
P25037	4932.YDL122W
P25042	4932.YPR065W
P25043	4932.YOR157C
P25044	4932.YDL230W
P25045	4932.YMR296C
P25046	4932.YBL093C
P25087	4932.YML008C
P25293	4932.YKR048C
P25294	4932.YNL007C
P25296	4932.YKL190W
P25297	4932.YML123C
P25298	4932.YMR061W
P25299	4932.YGL044C
P25300	4932.YCR038C
P25301	4932.YDR004W
P25302	4932.YER111C
P25303	4932.YMR214W
P25333	4932.YCR008W
P25336	4932.YCR092C
P25340	4932.YGL012W
P25341	4932.YCR091W
P25342	4932.YCR002C
P25343	4932.YCR009C
P25344	4932.YCL032W
P25346	4932.YCR098C
P25348	4932.YCR003W
P25349	4932.YCR004C
P25353	4932.YCR026C
P25357	4932.YCR033W
P25358	4932.YCR034W
P25359	4932.YCR035C
P25360	4932.YCR037C
P25364	4932.YCR065W
P25368	4932.YCL031C
P25369	4932.YCL034W
P25373	4932.YCL035C
P25374	4932.YCL017C
P25375	4932.YCL057W
P25376	4932.YCL025C
P25377	4932.YCR105W
P25378	4932.YCR027C
P25382	4932.YCR072C
P25385	4932.YLR078C
P25386	4932.YDL058W
P25389	4932.YCL024W
P25390	4932.YCR073C
P25441	4932.YDL150W
P25443	4932.YGL123W
P25451	4932.YER094C
P25453	4932.YER179W
P25454	4932.YER095W
P25491	4932.YNL064C
P25502	4932.YKL015W
P25515	4932.YEL027W
P25554	4932.YCL010C
P25555	4932.YCL011C
P25569	4932.YCL039W
P25573	4932.YCL044C
P25574	4932.YCL045C
P25576	4932.YCL047C
P25580	4932.YCL052C
P25582	4932.YCL054W
P25583	4932.YCL055W
P25586	4932.YCL059C
P25588	4932.YCL061C
P25591	4932.YCL063W
P25604	4932.YCL008C
P25605	4932.YCL009C
P25613	4932.YCR010C
P25615	4932.YCR014C
P25618	4932.YCR017C
P25623	4932.YCR030C
P25627	4932.YCR047C
P25635	4932.YCR057C
P25637	4932.YCR059C
P25641	4932.YCR068W
P25644	4932.YCR077C
P25646	4932.YCR079W
P25648	4932.YCR081W
P25651	4932.YCR086W
P25653	4932.YCR089W
P25655	4932.YCR093W
P25656	4932.YCR094W
P25693	4932.YDL127W
P25694	4932.YDL126C
P25719	4932.YML078W
P25808	4932.YFL002C
P25846	4932.YHR120W
P25847	4932.YOL090W
P26188	4932.YDL200C
P26263	4932.YGR087C
P26309	4932.YGL116W
P26321	4932.YPL131W
P26364	4932.YER170W
P26370	4932.YDL170W
P26448	4932.YMR055C
P26449	4932.YOR026W
P26570	4932.YML016C
P26754	4932.YNL312W
P26755	4932.YJL173C
P26783	4932.YJR123W
P26784	4932.YIL133C
P26785	4932.YNL069C
P26786	4932.YOR096W
P26793	4932.YKL113C
P27351	4932.YJR005W
P27466	4932.YFR014C
P27472	4932.YLR258W
P27476	4932.YGR159C
P27514	4932.YNR013C
P27515	4932.YNR012W
P27614	4932.YJL172W
P27616	4932.YAR015W
P27636	4932.YAR019C
P27637	4932.YAR014C
P27654	4932.YBR067C
P27680	4932.YOL096C
P27692	4932.YML010W
P27697	4932.YGL119W
P27705	4932.YGL035C
P27796	4932.YIL160C
P27801	4932.YLR148W
P27809	4932.YDR483W
P27810	4932.YOR099W
P27825	4932.YAL058W
P27882	4932.YGR029W
P27895	4932.YEL061C
P27999	4932.YGL070C
P28000	4932.YNL113W
P28004	4932.YAL032C
P28005	4932.YAL033W
P28007	4932.YHR089C
P28240	4932.YER065C
P28241	4932.YOR136W
P28263	4932.YEL012W
P28272	4932.YKL216W
P28273	4932.YKL215C
P28274	4932.YBL039C
P28319	4932.YKL096W
P28320	4932.YKL095W
P28321	4932.YKL094W
P28495	4932.YKL007W
P28496	4932.YKL008C
P28519	4932.YMR201C
P28627	4932.YMR150C
P28707	4932.YKL117W
P28708	4932.YKL116C
P28737	4932.YGR028W
P28742	4932.YBL063W
P28743	4932.YPL155C
P28777	4932.YGL148W
P28791	4932.YDR498C
P28795	4932.YDR329C
P28817	4932.YDR036C
P28834	4932.YNL037C
P29029	4932.YLR286C
P29055	4932.YPR086W
P29056	4932.YGR246C
P29295	4932.YPL204W
P29311	4932.YER177W
P29340	4932.YGR133W
P29366	4932.YBR200W
P29453	4932.YLL045C
P29461	4932.YOR208W
P29465	4932.YBR023C
P29468	4932.YKR002W
P29469	4932.YBL023C
P29496	4932.YLR274W
P29509	4932.YDR353W
P29539	4932.YBR275C
P29547	4932.YPL048W
P29703	4932.YKL019W
P29704	4932.YHR190W
P29952	4932.YER003C
P30283	4932.YPR120C
P30605	4932.YDR497C
P30619	4932.YDR164C
P30620	4932.YMR137C
P30624	4932.YOR317W
P30656	4932.YPR103W
P30657	4932.YFR050C
P30665	4932.YPR019W
P30771	4932.YMR080C
P30822	4932.YGR218W
P30902	4932.YKL016C
P30952	4932.YNL117W
P31109	4932.YAL030W
P31111	4932.YDR285W
P31115	4932.YFL001W
P31116	4932.YJR139C
P31244	4932.YBR114W
P31373	4932.YAL012W
P31374	4932.YAL017W
P31376	4932.YAL011W
P31377	4932.YAL014C
P31378	4932.YAL015C
P31380	4932.YAL019W
P31382	4932.YAL023C
P31383	4932.YAL016W
P31384	4932.YAL021C
P31385	4932.YAL013W
P31386	4932.YAL020C
P31412	4932.YKL080W
P31539	4932.YLL026W
P31688	4932.YDR074W
P31755	4932.YGL038C
P32074	4932.YNL287W
P32178	4932.YPR060C
P32179	4932.YOL064C
P32259	4932.YNL236W
P32266	4932.YOR211C
P32288	4932.YPR035W
P32316	4932.YBL015W
P32318	4932.YGR144W
P32319	4932.YBL017C
P32323	4932.YNR044W
P32324	4932.YDR385W
P32325	4932.YDR052C
P32327	4932.YBR218C
P32328	4932.YPR111W
P32329	4932.YLR120C
P32332	4932.YKL120W
P32333	4932.YPL082C
P32334	4932.YGR014W
P32335	4932.YLR203C
P32336	4932.YOR373W
P32337	4932.YMR308C
P32338	4932.YGR044C
P32340	4932.YML120C
P32342	4932.YKL122C
P32343	4932.YKL124W
P32344	4932.YLR204W
P32345	4932.YDR075W
P32347	4932.YDR047W
P32349	4932.YPR190C
P32350	4932.YLL019C
P32352	4932.YMR202W
P32353	4932.YLR056W
P32354	4932.YIL150C
P32356	4932.YDR001C
P32357	4932.YBL074C
P32361	4932.YHR079C
P32363	4932.YPL175W
P32364	4932.YKL079W
P32366	4932.YLR447C
P32367	4932.YBR123C
P32368	4932.YKL212W
P32377	4932.YNR043W
P32379	4932.YGR253C
P32380	4932.YDR356W
P32381	4932.YDL029W
P32383	4932.YPL268W
P32386	4932.YLL048C
P32389	4932.YNL103W
P32419	4932.YDL078C
P32432	4932.YLR403W
P32447	4932.YJL115W
P32454	4932.YKL157W
P32457	4932.YLR314C
P32458	4932.YJR076C
P32461	4932.YKL191W
P32462	4932.YNL280C
P32465	4932.YHR094C
P32466	4932.YDR345C
P32467	4932.YHR092C
P32468	4932.YHR107C
P32471	4932.YAL003W
P32472	4932.YDR519W
P32474	4932.YDR518W
P32476	4932.YGR175C
P32478	4932.YJL159W
P32479	4932.YBL008W
P32480	4932.YOR038C
P32481	4932.YER025W
P32485	4932.YLR113W
P32486	4932.YPR159W
P32490	4932.YOR231W
P32491	4932.YPL140C
P32492	4932.YAL029C
P32494	4932.YDR176W
P32495	4932.YDL208W
P32497	4932.YMR309C
P32499	4932.YLR335W
P32500	4932.YML031W
P32501	4932.YDR211W
P32502	4932.YLR291C
P32504	4932.YGR140W
P32505	4932.YGL122C
P32521	4932.YIR006C
P32523	4932.YLL036C
P32524	4932.YJL203W
P32526	4932.YPL269W
P32527	4932.YGR285C
P32528	4932.YBR208C
P32529	4932.YJR063W
P32558	4932.YGL207W
P32561	4932.YNL330C
P32562	4932.YMR001C
P32563	4932.YOR270C
P32565	4932.YIL075C
P32566	4932.YGR229C
P32567	4932.YMR165C
P32568	4932.YDR011W
P32569	4932.YER022W
P32570	4932.YBR253W
P32571	4932.YDR069C
P32573	4932.YNL202W
P32578	4932.YDR422C
P32579	4932.YGL169W
P32580	4932.YPL029W
P32581	4932.YJL106W
P32582	4932.YGR155W
P32584	4932.YDR410C
P32585	4932.YGR104C
P32588	4932.YNL016W
P32589	4932.YPL106C
P32591	4932.YJL176C
P32597	4932.YIL126W
P32598	4932.YER133W
P32599	4932.YDR129C
P32600	4932.YKL203C
P32602	4932.YBL050W
P32604	4932.YJL155C
P32605	4932.YBR119W
P32607	4932.YOL067C
P32609	4932.YDR323C
P32610	4932.YEL051W
P32614	4932.YEL047C
P32621	4932.YEL042W
P32622	4932.YEL041W
P32623	4932.YEL040W
P32626	4932.YEL038W
P32628	4932.YEL037C
P32629	4932.YEL036C
P32639	4932.YER172C
P32641	4932.YER173W
P32642	4932.YER174C
P32643	4932.YER175C
P32644	4932.YER176W
P32657	4932.YER164W
P32660	4932.YER166W
P32767	4932.YGL016W
P32768	4932.YAR050W
P32769	4932.YKR084C
P32771	4932.YDL168W
P32773	4932.YOR194C
P32774	4932.YKL058W
P32776	4932.YDR311W
P32783	4932.YBR236C
P32784	4932.YBL011W
P32789	4932.YBL009W
P32790	4932.YBL007C
P32791	4932.YLR214W
P32793	4932.YHR016C
P32794	4932.YLR397C
P32795	4932.YPR024W
P32796	4932.YML042W
P32797	4932.YDL220C
P32798	4932.YOR316C
P32799	4932.YGL191W
P32800	4932.YJL210W
P32801	4932.YKL048C
P32802	4932.YLR083C
P32803	4932.YGL200C
P32807	4932.YMR284W
P32828	4932.YDL013W
P32829	4932.YMR224C
P32830	4932.YBR091C
P32832	4932.YMR091C
P32833	4932.YBR060C
P32835	4932.YLR293C
P32838	4932.YNR032W
P32839	4932.YDR375C
P32842	4932.YPL234C
P32844	4932.YIL068C
P32849	4932.YLR032W
P32854	4932.YOR036W
P32855	4932.YPR055W
P32860	4932.YKL040C
P32861	4932.YKL035W
P32862	4932.YKL038W
P32863	4932.YGL163C
P32864	4932.YOR370C
P32867	4932.YPL232W
P32873	4932.YPL115C
P32874	4932.YMR207C
P32891	4932.YDL174C
P32892	4932.YLL008W
P32893	4932.YGR166W
P32895	4932.YKL181W
P32897	4932.YNR017W
P32898	4932.YDR430C
P32899	4932.YHR148W
P32900	4932.YHR149C
P32901	4932.YKR093W
P32905	4932.YGR214W
P32906	4932.YJR131W
P32908	4932.YFL008W
P32909	4932.YBR172C
P32910	4932.YNR003C
P32911	4932.YNL244C
P32912	4932.YGL212W
P32913	4932.YOR132W
P32914	4932.YGR063C
P32915	4932.YLR378C
P32916	4932.YDR292C
P32917	4932.YDR103W
P32939	4932.YML001W
P32944	4932.YJL187C
P32945	4932.YPL179W
P33122	4932.YOR344C
P33201	4932.YKL009W
P33202	4932.YKL010C
P33203	4932.YKL012W
P33296	4932.YER100W
P33297	4932.YOR117W
P33298	4932.YDR394W
P33299	4932.YKL145W
P33300	4932.YPL057C
P33301	4932.YDR369C
P33302	4932.YOR153W
P33307	4932.YGL238W
P33308	4932.YNR010W
P33309	4932.YNL001W
P33310	4932.YLR188W
P33313	4932.YBR155W
P33314	4932.YKL092C
P33317	4932.YBR252W
P33322	4932.YLR175W
P33328	4932.YOR327C
P33329	4932.YDR436W
P33330	4932.YOR184W
P33332	4932.YER008C
P33333	4932.YDL052C
P33334	4932.YHR165C
P33336	4932.YGR143W
P33338	4932.YNL243W
P33339	4932.YGR047C
P33399	4932.YDL051W
P33400	4932.YHL027W
P33401	4932.YKL127W
P33413	4932.YHL016C
P33416	4932.YDR258C
P33418	4932.YKL205W
P33419	4932.YPL124W
P33420	4932.YPL174C
P33421	4932.YKL141W
P33441	4932.YML062C
P33442	4932.YLR441C
P33448	4932.YOR045W
P33734	4932.YBR248C
P33748	4932.YMR037C
P33749	4932.YKL062W
P33751	4932.YDR538W
P33753	4932.YKR056W
P33754	4932.YBR171W
P33755	4932.YBR170C
P33760	4932.YNL329C
P33767	4932.YEL002C
P33775	4932.YDL095W
P33891	4932.YGL145W
