From	Entry	Entry Name	Organism	Gene Ontology (GO)	Gene Ontology IDs
4932.YGR271W	P53327	ASCC3_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosolic ribosome [GO:0022626]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; helicase activity [GO:0004386]; mRNA binding [GO:0003729]; RNA helicase activity [GO:0003724]; cytoplasmic translation [GO:0002181]; defense response to virus [GO:0051607]; regulation of translation [GO:0006417]; rescue of stalled ribosome [GO:0072344]; ribosome disassembly [GO:0032790]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]	GO:0002181; GO:0003724; GO:0003729; GO:0004386; GO:0005524; GO:0005737; GO:0006417; GO:0010494; GO:0016887; GO:0022626; GO:0032790; GO:0051607; GO:0072344; GO:1990116
4932.YER172C	P32639	BRR2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	nucleus [GO:0005634]; Prp19 complex [GO:0000974]; spliceosomal complex [GO:0005681]; U4/U6 x U5 tri-snRNP complex [GO:0046540]; U5 snRNP [GO:0005682]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; nucleic acid binding [GO:0003676]; RNA helicase activity [GO:0003724]; mRNA splicing, via spliceosome [GO:0000398]; spliceosome conformational change to release U4 (or U4atac) and U1 (or U11) [GO:0000388]	GO:0000388; GO:0000398; GO:0000974; GO:0003676; GO:0003724; GO:0005524; GO:0005634; GO:0005681; GO:0005682; GO:0016887; GO:0042802; GO:0046540
4932.YOR151C	P08518	RPB2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasmic stress granule [GO:0010494]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase II, core complex [GO:0005665]; DNA binding [GO:0003677]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; mRNA binding [GO:0003729]; plastid single subunit type RNA polymerase activity [GO:0001066]; ribonucleoside binding [GO:0032549]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; zinc ion binding [GO:0008270]; RNA-templated transcription [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription elongation by RNA polymerase II [GO:0006368]; transcription initiation at RNA polymerase II promoter [GO:0006367]	GO:0001054; GO:0001055; GO:0001056; GO:0001057; GO:0001058; GO:0001065; GO:0001066; GO:0001172; GO:0003677; GO:0003729; GO:0005634; GO:0005665; GO:0005739; GO:0006366; GO:0006367; GO:0006368; GO:0008270; GO:0010494; GO:0032549
4932.YOR207C	P22276	RPC2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; ribonucleoside binding [GO:0032549]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; zinc ion binding [GO:0008270]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase III [GO:0006383]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]	GO:0001054; GO:0001055; GO:0001056; GO:0001057; GO:0001058; GO:0001065; GO:0001066; GO:0003677; GO:0005634; GO:0005654; GO:0005666; GO:0005739; GO:0006383; GO:0006384; GO:0006386; GO:0008270; GO:0032549; GO:0042797
4932.YOR116C	P04051	RPC1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase III [GO:0006383]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]	GO:0001054; GO:0001055; GO:0001056; GO:0001057; GO:0001058; GO:0001065; GO:0001066; GO:0003677; GO:0005634; GO:0005654; GO:0005666; GO:0005739; GO:0006383; GO:0006384; GO:0006386; GO:0042797; GO:0046872
4932.YHR099W	P38811	TRA1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	NuA4 histone acetyltransferase complex [GO:0035267]; nucleus [GO:0005634]; SAGA complex [GO:0000124]; SLIK (SAGA-like) complex [GO:0046695]; TTT Hsp90 cochaperone complex [GO:0110078]; DNA repair [GO:0006281]; DNA repair-dependent chromatin remodeling [GO:0140861]; DNA-templated transcription [GO:0006351]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of DNA-templated transcription [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000124; GO:0005634; GO:0006281; GO:0006351; GO:0006355; GO:0006357; GO:0035267; GO:0045944; GO:0046695; GO:0110078; GO:0140861
4932.YGL062W	P11154	PYC1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	GO:0004736; GO:0005524; GO:0005829; GO:0006090; GO:0006094; GO:0046872
4932.YBR218C	P32327	PYC2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; pyruvate carboxylase activity [GO:0004736]; gluconeogenesis [GO:0006094]; pyruvate metabolic process [GO:0006090]	GO:0004736; GO:0005524; GO:0005829; GO:0006090; GO:0006094; GO:0046872
4932.YKL215C	P28273	OPLA_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; cytosol [GO:0005829]; 5-oxoprolinase (ATP-hydrolyzing) activity [GO:0017168]; ATP binding [GO:0005524]; glutathione metabolic process [GO:0006749]	GO:0005524; GO:0005737; GO:0005829; GO:0006749; GO:0017168
4932.YBL076C	P09436	SYIC_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; aminoacyl-tRNA editing activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; sequence-specific mRNA binding [GO:1990825]; tRNA binding [GO:0000049]; isoleucyl-tRNA aminoacylation [GO:0006428]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:1990825
4932.YDR385W	P32324	EF2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytosol [GO:0005829]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; identical protein binding [GO:0042802]; protein-folding chaperone binding [GO:0051087]; ribosome binding [GO:0043022]; rRNA binding [GO:0019843]; translation elongation factor activity [GO:0003746]; maintenance of translational fidelity [GO:1990145]; positive regulation of translational elongation [GO:0045901]; translational elongation [GO:0006414]	GO:0003746; GO:0003924; GO:0005525; GO:0005829; GO:0006414; GO:0019843; GO:0042802; GO:0043022; GO:0045901; GO:0051087; GO:1990145; GO:1990904
4932.YDL126C	P25694	CDC48_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	Cdc48p-Npl4p-Vms1p AAA ATPase complex [GO:0036266]; cytosol [GO:0005829]; Doa10p ubiquitin ligase complex [GO:0000837]; endoplasmic reticulum membrane [GO:0005789]; Hrd1p ubiquitin ligase ERAD-L complex [GO:0000839]; mating projection tip [GO:0043332]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; replisome [GO:0030894]; RQC complex [GO:1990112]; VCP-NPL4-UFD1 AAA ATPase complex [GO:0034098]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; identical protein binding [GO:0042802]; polyubiquitin modification-dependent protein binding [GO:0031593]; protein phosphatase regulator activity [GO:0019888]; ubiquitin binding [GO:0043130]; ATP metabolic process [GO:0046034]; autophagosome maturation [GO:0097352]; cytoplasm protein quality control by the ubiquitin-proteasome system [GO:0071629]; DNA replication termination [GO:0006274]; endoplasmic reticulum membrane fusion [GO:0016320]; endosome to plasma membrane protein transport [GO:0099638]; ERAD pathway [GO:0036503]; macroautophagy [GO:0016236]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; mitotic DNA replication termination [GO:1902979]; mitotic spindle disassembly [GO:0051228]; nonfunctional rRNA decay [GO:0070651]; nuclear protein quality control by the ubiquitin-proteasome system [GO:0071630]; piecemeal microautophagy of the nucleus [GO:0034727]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of protein localization to nucleus [GO:1900182]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; protein-containing complex disassembly [GO:0032984]; rescue of stalled ribosome [GO:0072344]; retrograde protein transport, ER to cytosol [GO:0030970]; ribophagy [GO:0034517]; ribosome-associated ubiquitin-dependent protein catabolic process [GO:1990116]; SCF complex disassembly in response to cadmium stress [GO:1990171]; sister chromatid biorientation [GO:0031134]; stress-induced homeostatically regulated protein degradation pathway [GO:0120174]	GO:0000837; GO:0000839; GO:0005524; GO:0005634; GO:0005739; GO:0005789; GO:0005829; GO:0006274; GO:0006515; GO:0010636; GO:0016236; GO:0016320; GO:0016887; GO:0019888; GO:0030894; GO:0030970; GO:0031134; GO:0031593; GO:0032984; GO:0034098; GO:0034517; GO:0034727; GO:0036266; GO:0036503; GO:0042802; GO:0043130; GO:0043161; GO:0043328; GO:0043332; GO:0046034; GO:0051228; GO:0070651; GO:0071629; GO:0071630; GO:0072344; GO:0072671; GO:0097352; GO:0099638; GO:0120174; GO:1900182; GO:1902979; GO:1990112; GO:1990116; GO:1990171
4932.YPL082C	P32333	BTAF1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	mitochondrion [GO:0005739]; nuclear chromosome [GO:0000228]; nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; TBP-class protein binding [GO:0017025]; negative regulation of DNA-templated transcription [GO:0045892]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; regulation of RNA polymerase II transcription preinitiation complex assembly [GO:0045898]; regulation of transcription by RNA polymerase II [GO:0006357]; rRNA processing [GO:0006364]	GO:0000228; GO:0003677; GO:0004386; GO:0005524; GO:0005634; GO:0005667; GO:0005739; GO:0006357; GO:0006364; GO:0016887; GO:0017025; GO:0042790; GO:0045892; GO:0045898
4932.YNL132W	P53914	NAT10_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	90S preribosome [GO:0030686]; nucleolus [GO:0005730]; preribosome, small subunit precursor [GO:0030688]; small-subunit processome [GO:0032040]; ATP binding [GO:0005524]; rRNA cytidine N-acetyltransferase activity [GO:1990883]; snoRNA binding [GO:0030515]; tRNA binding [GO:0000049]; tRNA N-acetyltransferase activity [GO:0051392]; maturation of SSU-rRNA [GO:0030490]; mRNA modification [GO:0016556]; ribosomal small subunit biogenesis [GO:0042274]; rRNA acetylation involved in maturation of SSU-rRNA [GO:1904812]; tRNA acetylation [GO:0051391]; tRNA wobble cytosine modification [GO:0002101]	GO:0000049; GO:0002101; GO:0005524; GO:0005730; GO:0016556; GO:0030490; GO:0030515; GO:0030686; GO:0030688; GO:0032040; GO:0042274; GO:0051391; GO:0051392; GO:1904812; GO:1990883
4932.YJR109C	P03965	CARB_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleotide biosynthetic process [GO:0006221]	GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005951; GO:0006221; GO:0006526; GO:0046872
4932.YIL066C	P21672	RIR3_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	cytoplasm [GO:0005737]; mitochondrion [GO:0005739]; ribonucleoside-diphosphate reductase complex [GO:0005971]; ATP binding [GO:0005524]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; deoxyribonucleotide biosynthetic process [GO:0009263]	GO:0004748; GO:0005524; GO:0005737; GO:0005739; GO:0005971; GO:0009263
